"scaffold","start","end","mid","sites","pi_S_HUE_T","pi_S_COT_S","dxy_S_HUE_T_S_COT_S","Fst_S_HUE_T_S_COT_S","S_S_HUE_T_egg","S_S_COT_S_egg","Pi_S_HUE_T_egg","Pi_S_COT_S_egg","thetaW_S_HUE_T_egg","thetaW_S_COT_S_egg","D_S_HUE_T_egg","D_S_COT_S_egg","lseff_S_HUE_T_egg","lseff_S_COT_S_egg","FstWC_S_HUE_T_S_COT_S_egg","Dxy_S_HUE_T_S_COT_S_egg","lseff_S_HUE_T_S_COT_S_egg","col"
"CM008230.1_RagTag",2600001,2650000,2625146,16388,0.0394,0.0486,0.0453,0.0159,"1088","1637","437.6675","559.3849","384.5925","578.6562","0.6925","-0.1672",11097,11537,"0.0109","0.0479",9521,"#020000"
"CM008230.1_RagTag",2650001,2700000,2676284,16740,0.0513,0.0636,0.0618,0.0388,"1420","2211","544.7048","755.65","501.9498","781.557","0.4276","-0.1665",10538,11972,"0.051","0.0655",9085,"#0A0000"
"CM008230.1_RagTag",2700001,2750000,2723978,13693,0.0395,0.0692,0.061,0.0602,"1542","2795","504.2421","888.9881","545.075","987.9927","-0.3761","-0.5033",12925,13131,"0.1047","0.0608",12131,"#120000"
"CM008230.1_RagTag",2750001,2800000,2775874,14083,0.0341,0.0567,0.0503,0.0531,"1145","1951","367.0278","627.5087","404.7412","689.6507","-0.4676","-0.4524",10795,11175,"0.0867","0.0521",9721,"#0F0000"
"CM008230.1_RagTag",2800001,2850000,2826982,14850,0.047,0.0761,0.066,0.0368,"1914","3046","656.5841","1079.3992","676.5717","1076.7176","-0.1483","0.0125",14328,14590,"0.0646","0.0648",13479,"#0A0000"
"CM008230.1_RagTag",2850001,2900000,2873936,24117,0.0394,0.0504,0.0475,0.0299,"990","1172","372.954","467.5905","349.9509","414.2853","0.3298","0.6457",9880,9407,"0.0439","0.0529",6085,"#070000"
"CM008230.1_RagTag",2900001,2950000,2925282,21906,0.0624,0.059,0.0623,0.0141,"1643","2037","761.4389","805.231","580.7771","720.0505","1.5617","0.594",12277,13799,"-0.0006","0.0744",8143,"#020000"
"CM008230.1_RagTag",2950001,3000000,2974120,19155,0.05,0.0606,0.0597,0.0402,"1588","2322","624.3825","827.8262","561.3354","820.7939","0.5639","0.043",12488,13965,"0.0622","0.0647",8753,"#0C0000"
"CM008230.1_RagTag",3000001,3050000,3024675,20427,0.0468,0.0616,0.0575,0.0313,"1651","2472","592.2627","931.1563","583.605","873.8168","0.0745","0.3295",12592,15379,"0.0378","0.0617",9740,"#070000"
"CM008230.1_RagTag",3050001,3100000,3075068,23743,0.0426,0.0563,0.0497,0.0032,"1448","2063","579.5603","790.9675","532.7727","729.2411","0.4589","0.425",13444,14397,"-0.003","0.0581",8304,"#000000"
"CM008230.1_RagTag",3100001,3150000,3123449,21429,0.054,0.072,0.0662,0.0256,"2221","3436","898.5571","1228.1333","785.0919","1214.5771","0.7257","0.0561",16783,17888,"0.0329","0.074",11906,"#070000"
"CM008230.1_RagTag",3150001,3200000,3174926,23875,0.0304,0.0489,0.0428,0.0396,"1063","1659","399.5294","630.6198","375.7554","610.4074","0.3175","0.1731",13224,13070,"0.0625","0.0512",7662,"#0A0000"
"CM008230.1_RagTag",3200001,3250000,3224049,23350,0.0318,0.0543,0.0456,0.0299,"1098","1819","351.1627","646.4413","388.1274","669.2773","-0.4779","-0.1783",11280,11987,"0.0477","0.0505",7107,"#070000"
"CM008230.1_RagTag",3250001,3300000,3273018,22044,0.0435,0.0496,0.0538,0.0759,"1244","1857","486.7262","679.9532","439.7363","683.2589","0.5363","-0.0253",11147,13777,"0.1417","0.06",7023,"#170000"
"CM008230.1_RagTag",3300001,3350000,3326106,19997,0.0586,0.0545,0.0656,0.0781,"1721","2292","682.9794","824.7897","608.349","810.1894","0.6159","0.0905",11943,15571,"0.119","0.074",8732,"#170000"
"CM008230.1_RagTag",3350001,3400000,3375329,21739,0.0362,0.0499,0.0448,0.0205,"1054","1508","384.1651","542.4579","387.8055","554.8489","-0.049","-0.1167",10800,11288,"0.0364","0.0466",5388,"#050000"
"CM008230.1_RagTag",3400001,3450000,3424544,25430,0.0353,0.031,0.0423,0.1273,"544","1272","207.8913","421.7016","200.1577","468.0158","0.2016","-0.517",6010,16286,"0.1073","0.0448",2538,"#260000"
"CM008230.1_RagTag",3450001,3500000,3475857,21750,0.0954,0.0569,0.0963,0.1221,"625","1732","261.319","644.2714","229.9606","667.989","0.7117","-0.1954",2711,18675,"0.1418","0.1026",1102,"#260000"
"CM008230.1_RagTag",3500001,3550000,3524055,19182,0.0353,0.0333,0.0371,0.0416,"924","1213","346.781","432.804","339.9737","446.3075","0.1046","-0.1581",10092,13531,"0.0184","0.0406",6328,"#0C0000"
"CM008230.1_RagTag",3550001,3600000,3573123,14485,0.0633,0.0703,0.0693,0.0197,"1857","2364","692.7571","777.5008","656.4231","835.6403","0.2779","-0.3494",11210,11349,"0.0288","0.0761",8870,"#050000"
"CM008230.1_RagTag",3600001,3650000,3626523,14938,0.0927,0.1058,0.1035,0.0221,"2364","3331","1031.6952","1203.754","835.6403","1177.4611","1.1782","0.1122",11254,11694,"0.0266","0.1139",9554,"#050000"
"CM008230.1_RagTag",3650001,3700000,3677121,13139,0.0779,0.0942,0.0892,0.019,"2073","3081","827.4516","1021.5659","732.776","1089.0896","0.6488","-0.3114",10721,10932,"0.0189","0.0937",9554,"#050000"
"CM008230.1_RagTag",3700001,3750000,3726165,22678,0.0281,0.0351,0.0335,0.0316,"727","1182","280.9548","420.1389","267.4901","434.9014","0.2628","-0.1773",10346,12098,"0.0546","0.0358",5806,"#070000"
"CM008230.1_RagTag",3750001,3800000,3774601,20810,0.0571,0.0736,0.071,0.0438,"1835","2875","719.8548","1089.0278","648.6464","1016.2716","0.5512","0.3596",12978,15589,"0.0497","0.0785",8921,"#0C0000"
"CM008230.1_RagTag",3800001,3850000,3825229,19190,0.0941,0.089,0.1064,0.0782,"2025","3333","820.4135","1263.8563","715.8087","1178.168","0.7338","0.3653",8876,14977,"0.0623","0.1183",6665,"#170000"
"CM008230.1_RagTag",3850001,3900000,3874695,18131,0.0879,0.0892,0.1037,0.0827,"2027","3197","836.9571","1226.5667","716.5156","1176.2943","0.844","0.2234",9692,14984,"0.0782","0.1145",7535,"#190000"
"CM008230.1_RagTag",3900001,3950000,3926904,24494,0.0523,0.0671,0.0793,0.1474,"1001","2179","362.5802","830.2881","353.8392","801.7346","0.124","0.1862",7134,12995,"0.1549","0.0821",5222,"#2E0000"
"CM008230.1_RagTag",3950001,4000000,3974807,28355,0.0447,0.0639,0.0688,0.1234,"154","418","63.1341","169.6984","56.6623","153.7976","0.5924","0.5391",1482,2331,"0.2286","0.0671",680,"#260000"
"CM008230.1_RagTag",4000001,4050000,4025466,28760,0.0523,0.0625,0.0656,0.0703,"246","286","106.8452","108.4786","90.5125","105.23","0.9388","0.1607",1971,1689,"0.0806","0.0732",360,"#140000"
"CM008230.1_RagTag",4050001,4100000,4073595,26854,0.0841,0.0745,0.0956,0.0977,"943","1787","425.0984","768.2611","346.9645","657.5033","1.1762","0.8804",4935,10953,"0.0512","0.1064",2086,"#1E0000"
"CM008230.1_RagTag",4100001,4150000,4124724,23370,0.0433,0.0466,0.0476,0.0307,"976","1189","406.3841","455.5214","345.0021","437.477","0.8927","0.2155",9171,10006,"0.0279","0.051",5782,"#070000"
"CM008230.1_RagTag",4150001,4200000,4174544,23456,0.062,0.065,0.0654,0.0153,"1846","2130","790.2563","801.7722","652.5347","752.9247","1.0597","0.3258",12991,12425,"0.0039","0.0793",7978,"#020000"
"CM008230.1_RagTag",4200001,4250000,4225020,22824,0.0332,0.0451,0.0422,0.0393,"1101","1596","387.5683","566.5603","389.1878","564.1633","-0.0209","0.0213",11476,12832,"0.0525","0.0473",7809,"#0A0000"
"CM008230.1_RagTag",4250001,4300000,4273950,20474,0.0318,0.0564,0.0472,0.0356,"1207","1946","376.2619","695.5429","426.6573","687.8833","-0.5928","0.0559",11824,12657,"0.0571","0.0508",9251,"#0A0000"
"CM008230.1_RagTag",4300001,4350000,4324887,18883,0.0749,0.0977,0.0874,0.0067,"2382","3325","944.9825","1321.4183","842.0031","1175.3402","0.6142","0.6242",12872,14217,"-0.0081","0.1007",9442,"#000000"
"CM008230.1_RagTag",4350001,4400000,4375987,19757,0.0453,0.0664,0.0606,0.0423,"1487","2555","630.123","934.2913","525.6333","940.0788","0.9979","-0.0322",14082,14731,"0.0616","0.0687",7849,"#0C0000"
"CM008230.1_RagTag",4400001,4450000,4424878,24321,0.0517,0.0736,0.066,0.0274,"1446","2415","568.9198","909.396","532.0368","888.5677","0.3623","0.1225",11045,12738,"0.0299","0.0811",5842,"#070000"
"CM008230.1_RagTag",4450001,4500000,4475952,24246,0.0209,0.048,0.0376,0.0458,"617","1168","228.1897","448.4048","227.0171","429.7503","0.027","0.2268",10792,10413,"0.0601","0.0551",3342,"#0C0000"
"CM008230.1_RagTag",4500001,4550000,4522987,22356,0.0251,0.0558,0.0432,0.0341,"900","1689","304.2468","597.0865","318.1372","621.4455","-0.219","-0.2049",11998,11684,"0.0577","0.05",6186,"#0A0000"
"CM008230.1_RagTag",4550001,4600000,4576206,21264,0.0613,0.0572,0.0726,0.106,"1476","1407","591.4135","532.8151","543.0749","517.6873","0.4651","0.1527",9324,9358,"0.1677","0.0809",4007,"#210000"
"CM008230.1_RagTag",4600001,4650000,4624411,20184,0.042,0.0421,0.0449,0.0353,"1146","1615","452.5937","582.7079","421.6557","594.2181","0.3833","-0.1012",10343,14587,"0.0175","0.0547",6102,"#0A0000"
"CM008230.1_RagTag",4650001,4700000,4673651,19854,0.0377,0.0532,0.055,0.0998,"1087","1990","383.7643","709.8111","384.239","703.4367","-0.0062","0.0455",10662,13775,"0.121","0.0558",7165,"#1E0000"
"CM008230.1_RagTag",4700001,4750000,4724916,17880,0.0187,0.0379,0.0309,0.0459,"914","1838","274.9794","536.0556","323.086","649.7068","-0.747","-0.8783",14847,14661,"0.0798","0.0313",12821,"#0C0000"
"CM008230.1_RagTag",4750001,4800000,4773254,17807,0.0204,0.0463,0.0379,0.0668,"802","1775","247.3365","582.0071","283.4956","627.4372","-0.6398","-0.3635",12218,12982,"0.1104","0.0395",9969,"#140000"
"CM008230.1_RagTag",4800001,4850000,4823156,12069,0.0277,0.0464,0.0441,0.0913,"819","1250","284.1817","484.6603","289.5048","441.8572","-0.0922","0.4862",10337,10730,"0.1531","0.048",8446,"#1C0000"
"CM008230.1_RagTag",4850001,4900000,4875873,19219,0.0242,0.0357,0.0336,0.0612,"1052","1479","346.5849","520.704","371.867","522.8054","-0.3412","-0.0202",14705,14976,"0.117","0.0348",11752,"#120000"
"CM008230.1_RagTag",4900001,4950000,4923632,16984,0.0357,0.0488,0.0448,0.0305,"1282","1498","409.0254","500.6071","453.1687","529.5217","-0.4889","-0.2741",12112,10489,"0.038","0.0541",7509,"#070000"
"CM008230.1_RagTag",4950001,5000000,4975119,14134,0.0449,0.0519,0.0527,0.0449,"1913","2055","602.4913","682.6294","676.2183","726.4132","-0.5474","-0.3027",13632,13546,"0.0764","0.0542",12059,"#0C0000"
"CM008230.1_RagTag",5000001,5050000,5024592,13384,0.0309,0.0358,0.0355,0.0323,"1207","1342","362.1008","418.7183","426.6573","474.3779","-0.7594","-0.5889",12092,12354,"0.0543","0.0373",9522,"#0A0000"
"CM008230.1_RagTag",5050001,5100000,5071800,11464,0.0492,0.0598,0.0554,0.0087,"1260","1508","413.3437","493.031","445.3921","533.0565","-0.3612","-0.3769",8615,8539,"0.0135","0.0577",7048,"#020000"
"CM008230.1_RagTag",5100001,5150000,5126420,14514,0.1005,0.102,0.1075,0.0316,"2175","2359","827.1024","845.6079","768.8315","833.8729","0.3806","0.0707",8319,8482,"0.0513","0.1118",6834,"#070000"
"CM008230.1_RagTag",5150001,5200000,5172726,11631,0.0426,0.0664,0.0648,0.0908,"1351","1692","430.5389","677.8151","477.5593","598.0979","-0.4942","0.6692",10109,10344,"0.1561","0.0643",9461,"#1C0000"
"CM008230.1_RagTag",5200001,5250000,5227091,12638,0.0647,0.0818,0.0848,0.0764,"1946","2277","689.0984","907.1294","687.8833","804.8871","0.0089","0.6379",10807,11337,"0.1249","0.0861",9617,"#170000"
"CM008230.1_RagTag",5250001,5300000,5280155,18609,0.0442,0.0586,0.0532,0.0179,"1480","1662","500.4008","635.0365","523.1589","587.4933","-0.2184","0.4063",11462,10772,"0.0189","0.0619",8526,"#050000"
"CM008230.1_RagTag",5300001,5350000,5322976,14871,0.074,0.0871,0.0801,0,"2125","2698","929.4484","1087.9722","751.1572","953.7046","1.1919","0.707",12687,12746,"-0.0155","0.0868",10789,"#000000"
"CM008230.1_RagTag",5350001,5400000,5374103,16745,0.0561,0.0687,0.0699,0.0592,"1846","2019","686.623","849.673","652.5347","713.6878","0.2623","0.9567",12344,12552,"0.1078","0.0724",9617,"#120000"
"CM008230.1_RagTag",5400001,5450000,5425885,14411,0.0664,0.071,0.0792,0.0745,"1917","2059","724.6413","846.8071","677.6322","727.8272","0.3483","0.8208",11146,12632,"0.1164","0.085",9754,"#170000"
"CM008230.1_RagTag",5450001,5500000,5475597,12730,0.0952,0.1231,0.1148,0.0267,"2702","3637","1136.4024","1480.9992","955.1185","1285.6277","0.9532","0.7633",12241,12455,"0.0425","0.1154",11516,"#070000"
"CM008230.1_RagTag",5500001,5550000,5525961,15944,0.059,0.056,0.0667,0.0774,"2186","2086","777.5008","815.5381","772.7199","737.3713","0.0311","0.5323",13487,15474,"0.1192","0.069",11706,"#170000"
"CM008230.1_RagTag",5550001,5600000,5574396,14597,0.0272,0.0331,0.0329,0.0463,"1004","1178","367.3976","443.3619","354.8997","416.4062","0.1767","0.3249",13766,13934,"0.0812","0.0333",12420,"#0C0000"
"CM008230.1_RagTag",5600001,5650000,5625895,15530,0.0245,0.03,0.0305,0.0596,"884","947","299.9429","355.2508","312.4814","334.751","-0.2013","0.3072",12345,11990,"0.0958","0.0325",9381,"#120000"
"CM008230.1_RagTag",5650001,5700000,5674726,14528,0.0368,0.0461,0.0467,0.0622,"1433","1656","513.2897","647.6151","506.5451","585.3724","0.0668","0.5338",14137,14278,"0.108","0.0462",13329,"#120000"
"CM008230.1_RagTag",5700001,5750000,5727489,16994,0.0222,0.0295,0.0338,0.1394,"829","973","257.0","405.0508","293.0397","343.9416","-0.6169","0.8915",11546,15175,"0.2027","0.0357",10631,"#2B0000"
"CM008230.1_RagTag",5750001,5800000,5775415,14516,0.044,0.0409,0.0495,0.0809,"1462","1387","520.6778","528.5262","516.7962","490.2848","0.0377","0.3915",12024,13485,"0.1328","0.0522",10505,"#190000"
"CM008230.1_RagTag",5800001,5850000,5825328,14730,0.0325,0.0312,0.0374,0.0838,"1040","1047","379.8365","408.9643","367.6252","370.0996","0.1667","0.5269",11600,13977,"0.1379","0.0375",9942,"#190000"
"CM008230.1_RagTag",5850001,5900000,5874825,13638,0.0224,0.0324,0.035,0.1268,"901","989","262.469","381.6675","318.4907","349.5974","-0.8824","0.4603",11771,11991,"0.2108","0.0348",10736,"#260000"
"CM008230.1_RagTag",5900001,5950000,5925886,13523,0.0244,0.0333,0.0353,0.1041,"931","1110","305.3817","417.9151","329.0952","392.3692","-0.3615","0.3267",12495,12703,"0.1838","0.0355",11496,"#210000"
"CM008230.1_RagTag",5950001,6000000,5974945,13888,0.0227,0.0279,0.0316,0.1164,"926","1024","293.8373","368.9143","327.3278","361.9694","-0.5133","0.0963",12981,13494,"0.202","0.0316",11310,"#240000"
"CM008230.1_RagTag",6000001,6050000,6024320,12807,0.0262,0.0317,0.0358,0.1111,"995","1065","324.5452","401.6778","351.7183","376.4623","-0.3876","0.3361",12632,12788,"0.1893","0.0354",10990,"#210000"
"CM008230.1_RagTag",6050001,6100000,6075305,13595,0.0317,0.0335,0.0372,0.0686,"1225","1190","418.3825","441.4167","433.0201","420.6481","-0.1697","0.2478",13487,13433,"0.1251","0.0366",12859,"#140000"
"CM008230.1_RagTag",6100001,6150000,6125132,13850,0.0099,0.0108,0.0127,0.1043,"438","424","130.0437","142.9571","154.8268","149.878","-0.8017","-0.2312",13260,13299,"0.1845","0.0125",12099,"#210000"
"CM008230.1_RagTag",6150001,6200000,6174460,13472,0.0205,0.0211,0.0238,0.0706,"856","867","260.15","275.9071","302.5838","306.4722","-0.7035","-0.5003",13115,13211,"0.1216","0.0237",12203,"#140000"
