# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "12" "-p" "--countReadPairs" "-B" "-C" "-t" "exon" "-g" "gene_id" "-a" "/scratch/leuven/357/vsc35707/annotation/func-annotation/results/08_minimal_annotation/braker.minimal.annotated.gtf" "-o" "/scratch/leuven/357/vsc35707/rna-seq/counts/gene_counts.txt" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_01.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_02.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_03.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_04.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_05.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_06.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_01.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_02.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_03.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_04.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_05.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_06.filtered.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_01.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_02.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_03.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_04.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_05.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_06.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_01.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_02.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_03.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_04.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_05.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_06.filtered.sorted.bam
g13	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	911558;912008;912734;913122;914589;915662;915860;964483;1002531	911950;912668;913058;914426;914864;915792;916013;964824;1002579	-;-;-;-;-;-;-;-;-	3636	51	246	118	91	107	86	115	120	111	95	226	127
g14	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1044475;1044570;1044630;1045108;1045108;1045327;1045327;1045500;1045500;1045686;1045686;1045869;1045869;1046135;1046135;1046505;1046505	1044573;1045051;1045051;1045269;1045269;1045433;1045433;1045624;1045624;1045811;1045811;1046070;1046070;1046424;1046424;1046690;1046690	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1775	408	260	426	275	361	402	416	594	510	593	683	685
g15	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1046904;1047148;1047787;1048128;1048387;1048951;1049559;1051613;1052267;1052563;1052787;1053343;1055053;1055870;1056563	1047012;1047340;1048068;1048321;1048566;1049130;1049766;1051862;1052497;1052722;1053058;1053546;1055170;1056186;1056613	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2949	207	302	291	224	262	233	166	225	145	284	171	177
g16	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1066104;1093799;1107871;1113020;1116179;1118143;1132923	1066109;1093969;1108093;1113111;1116308;1118342;1133474	+;+;+;+;+;+;+	1374	49	90	54	87	32	82	153	117	123	67	218	97
g17	CHR1;CHR1	1134992;1134992	1136515;1136569	-;-	1578	2202	1963	1862	1669	1091	1311	3218	3266	2242	3622	2505	4125
g18	CHR1	1140077	1141570	-	1494	4989	8123	3827	4431	6167	4351	6251	6267	9440	8240	3676	1737
g19	CHR1;CHR1;CHR1	1145126;1145640;1151002	1145580;1145880;1151040	-;-;-	735	104	575	147	266	189	120	660	668	1139	1175	802	591
g20	CHR1;CHR1;CHR1;CHR1	1151346;1151494;1151839;1152052	1151392;1151659;1151972;1152157	-;-;-;-	453	2915	2384	2916	2703	3549	2358	3831	3732	3427	5580	2356	539
g21	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1152786;1152786;1152957;1152957;1153134;1153134;1153701;1153710	1152901;1152901;1153071;1153071;1153641;1153641;1153867;1153867	+;+;+;+;+;+;+;+	906	775	572	580	673	616	700	527	627	617	556	545	396
g22	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1155133;1159893;1160714;1160939;1161260;1161708;1162242;1164540;1165095	1155421;1160650;1160876;1161204;1161647;1162083;1162540;1164662;1165288	-;-;-;-;-;-;-;-;-	2856	329	1084	984	559	609	513	1129	1687	956	1442	1578	1137
g23	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1178480;1178799;1179108;1179501;1180083;1180458;1182401;1183009;1183453;1185038;1187619	1178736;1179045;1179414;1180026;1180313;1180911;1182754;1183258;1183711;1185182;1187945	-;-;-;-;-;-;-;-;-;-;-	3357	1669	3186	4030	2684	2312	4959	3048	3382	2182	3465	4418	5240
g24	CHR1;CHR1;CHR1	1190318;1190803;1191379	1190464;1190960;1191406	-;-;-	333	6132	7975	5710	7562	7125	6962	6206	7260	5256	8148	8425	8201
g25	CHR1;CHR1	1191927;1192697	1192642;1192913	+;+	933	458	340	226	298	276	266	622	540	619	781	630	463
g26	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1193014;1193111;1193356;1193533;1193873;1194059;1194369	1193051;1193297;1193478;1193820;1193999;1194303;1194479	-;-;-;-;-;-;-	1119	1070	584	743	299	646	670	1432	1242	1206	1523	1255	907
g27	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1194731;1194934;1195011;1195539;1195539;1195790;1195977;1196173;1196383;1196584;1196898	1194846;1195460;1195460;1195725;1195725;1195915;1196117;1196322;1196530;1196837;1197026	-;-;-;-;-;-;-;-;-;-;-	1778	1778	1560	1322	1660	1425	1053	4994	913	2113	1062	705	527
g28	CHR1;CHR1	1199025;1202036	1200330;1202265	+;+	1536	14	24	22	25	7	30	43	23	34	15	17	17
g29	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1206911;1206911;1207024;1207024;1207324;1207324;1207679;1207679;1208018;1208346;1208346;1208507;1208507;1208675;1208675;1208983;1208983;1209286;1209286;1209625;1209625;1209933;1209933	1206967;1206967;1207266;1207266;1207624;1207624;1207779;1207779;1208047;1208447;1208447;1208615;1208615;1208918;1208918;1209226;1209226;1209571;1209571;1209869;1209869;1210055;1210055	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2085	785	930	862	633	685	687	1015	974	1122	1000	1010	1071
g30	CHR1;CHR1	1210652;1210855	1210797;1211125	-;-	417	448	489	368	345	316	275	277	327	274	300	371	403
g31	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1211475;1211475;1211595;1211595;1211756;1211756;1211841;1212961;1212961;1213258;1213258;1213845;1213845;1214021;1214021;1214196;1214196	1211490;1211490;1211693;1211693;1211783;1212901;1212901;1213198;1213198;1213787;1213787;1213965;1213965;1214132;1214132;1214318;1214318	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2385	1756	1697	1911	1747	1769	1943	1613	2276	1650	1545	1633	2139
g32	CHR1;CHR1;CHR1	1214668;1215049;1215214	1214992;1215159;1215359	-;-;-	582	1675	898	945	976	904	866	1398	1428	1295	1733	1556	1795
g33	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1215887;1215887;1217946;1217946;1224348;1224348;1224859;1224873;1241931;1241931;1293811;1293811;1316482;1316482;1317447;1317447;1317865;1317865;1319110;1319110	1215955;1215955;1218158;1218158;1224447;1224433;1224955;1224955;1241991;1241991;1293888;1293888;1316795;1316795;1317782;1317782;1318072;1318072;1319237;1319237	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1604	812	1512	1597	1223	1079	1366	1371	1922	1477	1619	2075	1945
g34	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1326108;1326108;1326314;1326314;1326568;1326568;1326983;1327143;1327143;1327334;1327334;1327720;1327720	1326223;1326223;1326508;1326508;1326694;1326694;1327006;1327278;1327278;1327663;1327663;1327841;1327841	-;-;-;-;-;-;-;-;-;-;-;-;-	1050	16	18	33	33	19	22	33	22	27	37	35	49
g35	CHR1;CHR1	1333389;1336261	1335552;1336421	-;-	2325	5	6	11	4	1	9	5	11	8	9	14	11
g36	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1357002;1357379;1357694;1358162;1358387;1358763;1359081	1357315;1357629;1357855;1358330;1358707;1359030;1359209	-;-;-;-;-;-;-	1614	370	179	240	328	171	783	312	217	778	268	226	604
g37	CHR1;CHR1;CHR1	1359351;1359515;1360724	1359454;1360665;1360902	+;+;+	1434	724	563	589	639	586	659	402	553	541	422	521	540
g38	CHR1;CHR1	1361102;1361960	1361882;1362717	+;+	1539	1418	1482	1394	1064	1236	1098	991	1096	911	1194	999	779
g39	CHR1;CHR1;CHR1	1363470;1363970;1364833	1363638;1364208;1366776	+;+;+	2352	173	517	450	250	275	345	656	693	567	568	587	513
g40	CHR1;CHR1;CHR1	1368150;1368234;1368524	1368176;1368466;1368671	-;-;-	408	1141	558	644	738	518	619	756	591	468	804	957	759
g41	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1369028;1369277;1369549;1369746;1369746;1369979;1369979	1369040;1369689;1369689;1369916;1369916;1370392;1370392	+;+;+;+;+;+;+	1011	5723	4290	4484	5092	5588	5210	2660	4138	3128	4243	3441	3318
g42	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1371837;1371987;1372255;1372578;1372803;1373037;1373306;1373549;1373930;1374110	1371926;1372191;1372514;1372743;1372979;1373245;1373485;1373772;1373969;1374112	-;-;-;-;-;-;-;-;-;-	1554	5855	9271	8511	7244	8022	6819	4791	7054	4819	6119	5682	5377
g43	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1374573;1374852;1375191;1375409;1375602;1375862;1376016;1376927	1374794;1375136;1375351;1375544;1375807;1375959;1376873;1377033	+;+;+;+;+;+;+;+	2073	663	725	854	730	610	829	881	833	872	764	906	927
g44	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1378894;1378894;1378894;1381380;1381380;1381380;1381620;1381620;1381620;1382901;1382901;1382901;1383249;1383249;1383249;1385030;1385902;1385902;1385902	1381322;1381322;1381322;1381483;1381483;1381465;1382840;1382840;1382840;1383174;1383174;1383174;1383530;1383530;1383530;1385089;1386031;1386031;1386031	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4500	399	1264	1366	856	852	914	1248	1727	1094	1263	1477	1408
g45	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1390580;1390868;1391104;1391447;1391862;1392148;1396450	1390771;1391047;1391379;1391805;1392003;1392275;1396744	-;-;-;-;-;-;-	1572	6	17	13	8	3	17	42	24	36	14	72	31
g46	CHR1;CHR1	1404271;1404895	1404535;1404953	-;-	324	0	3	2	0	0	1	5	1	6	3	12	2
g47	CHR1;CHR1;CHR1	1407581;1408733;1409025	1408672;1408898;1409113	-;-;-	1347	2290	2460	2418	2080	2025	2655	1673	2261	1752	2010	2171	2002
g48	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1409806;1409874;1410065;1410539;1411168;1411423;1411680	1409813;1410006;1410484;1411109;1411369;1411621;1411823	+;+;+;+;+;+;+	1677	274	371	483	446	411	449	258	319	284	334	436	377
g49	CHR1;CHR1;CHR1;CHR1	1413173;1413337;1413597;1413868	1413278;1413541;1413806;1414078	-;-;-;-	732	1538	1888	1792	1356	1412	1565	2325	2829	3031	3464	3020	3080
g50	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1415648;1415778;1415832;1416016;1416016;1416387;1416387;1416645;1416645;1416971;1416971;1417247;1417247;1417620;1417620;1417906;1417906;1418101;1418101	1415671;1415960;1415960;1416327;1416327;1416589;1416589;1416915;1416915;1417190;1417190;1417563;1417563;1417847;1417847;1418043;1418043;1418535;1418535	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2331	2325	2260	3719	3369	2504	3339	2347	2831	2982	2735	2974	3154
g51	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1419195;1430245;1430949;1430949;1432118;1432118;1432472;1432472;1434053;1434053;1434631;1434631;1436433;1436433;1436679;1436679;1436912;1436912;1437273;1437273;1437567;1437567;1437804;1437804;1439033;1439033;1439335;1439335;1439579;1439579;1440037;1440037;1440276;1440276;1440551;1440551	1419285;1430266;1431051;1431051;1432401;1432401;1432567;1432567;1434175;1434175;1434921;1434921;1436582;1436582;1436855;1436855;1437210;1437210;1437507;1437507;1437740;1437740;1437983;1437983;1439272;1439272;1439514;1439514;1439752;1439752;1440213;1440213;1440384;1440384;1440821;1440821	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3376	267	629	446	371	317	354	471	679	416	379	698	519
g52	CHR1;CHR1	1441709;1441954	1441898;1442288	+;+	525	7089	5021	6212	7107	7000	5464	3459	5787	4360	6023	3656	4477
g53	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1581258;1581258;1581878;1581878;1582453;1586319	1581819;1581819;1582079;1582079;1582501;1586334	-;-;-;-;-;-	829	13070	8741	9495	10420	10232	7274	2667	1830	3180	1005	520	1184
g54	CHR1;CHR1;CHR1	1590997;1820624;1823557	1591866;1820681;1824035	+;+;+	1407	47	177	176	155	134	129	137	275	178	195	215	218
g55	CHR1	1823568	1824035	+	468	0	0	0	0	0	0	0	0	0	0	0	0
g56	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1829163;1829256;1829450;1829450;1833117;1833117;1833796	1829285;1829285;1829719;1829719;1834025;1833501;1834025	+;+;+;+;+;+;+	1302	9	40	49	24	9	19	22	59	43	32	53	73
g57	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1841562;1841562;1841562;1842483;1842483;1842483;1843586;1843586;1843586;1843787;1844021;1844021;1844021;1844254;1844254;1844254;1844513;1844513;1844513;1845833;1845833;1845941;1848315;1848315;1848315;1850817;1850817;1850817	1841610;1841610;1841610;1842763;1842763;1842763;1843717;1843717;1843717;1843816;1844188;1844188;1844188;1844450;1844450;1844450;1844634;1844634;1844634;1846117;1846117;1846117;1848658;1848658;1848658;1850993;1850993;1850993	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1785	76	261	318	112	112	222	321	353	320	284	440	390
g58	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1864085;1866952;1867904;1868260;1915461;1915818;1916386;1916687	1864138;1867242;1868203;1868535;1915590;1915958;1916625;1917009	+;+;+;+;+;+;+;+	1755	328	1427	913	538	875	623	864	1637	1250	1001	1567	1138
g59	CHR1	1916665	1917009	+	345	0	0	0	0	0	0	0	0	0	0	0	0
g60	CHR1;CHR1;CHR1;CHR1	1918968;1920201;1920635;1920992	1919241;1920576;1920818;1921270	-;-;-;-	1113	3196	2447	3036	2991	3210	3126	1490	2120	1559	1612	1114	1612
g61	CHR1;CHR1;CHR1;CHR1;CHR1	1922064;1922359;1923071;1923564;1925434	1922174;1923014;1923503;1923838;1925545	+;+;+;+;+	1587	582	789	766	702	671	697	697	971	789	680	765	730
g62	CHR1;CHR1;CHR1;CHR1;CHR1	1926461;1930323;1930686;1930905;1932489	1930233;1930620;1930835;1930982;1932563	-;-;-;-;-	4374	1539	2144	1842	1497	1045	1428	2837	3166	1668	2189	2765	3125
g63	CHR1;CHR1;CHR1;CHR1	1935285;1935816;1936114;1938437	1935751;1936056;1936622;1938500	-;-;-;-	1281	475	532	634	802	660	823	514	542	574	568	701	792
g64	CHR1;CHR1;CHR1	1949152;1950412;1950664	1949292;1950599;1950910	-;-;-	576	5368	6701	6128	8874	7012	8438	6830	6709	6440	9827	10409	10901
g65	CHR1;CHR1	1951738;1953062	1951964;1953380	-;-	546	3913	2595	3540	4319	3348	4596	3785	3115	4183	4524	4449	6253
g66	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	1955142;1956220;1956583;1957682;1957926;1959567;1959806;1961339;1970977;1971214;1986997;1991642	1955322;1956511;1956793;1957868;1958142;1959747;1959928;1961481;1971139;1971528;1987221;1991662	-;-;-;-;-;-;-;-;-;-;-;-	2259	469	392	434	439	242	378	300	512	359	290	518	247
g67	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	2009585;2009758;2009987;2023323;2023347;2023573;2023573;2023891;2023891;2025259;2025259;2026150;2026150;2026399;2026399;2026627;2026627;2027035;2027035;2027315;2027315;2027691;2027691	2009638;2009930;2010161;2023508;2023508;2023830;2023830;2024085;2024085;2026092;2026092;2026340;2026340;2026570;2026570;2026977;2026977;2027243;2027243;2027625;2027625;2027821;2027821	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3240	2859	4338	4384	3697	3448	4062	4116	5557	4270	4291	4775	6312
g68	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	2029314;2035308;2037100;2037525;2038389;2038562;2038765;2038959;2039166;2040514;2040836;2041059;2041360;2041507;2041704;2042919;2043106;2043343;2043621	2029406;2035448;2037462;2037674;2038504;2038706;2038901;2039108;2039298;2040776;2041003;2041296;2041440;2041641;2041799;2043042;2043284;2043565;2043904	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3219	566	809	1030	749	710	491	680	749	836	1015	830	465
g69	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	2044821;2046330;2047002;2047272;2047710;2047967;2048243;2048487;2049295	2045445;2046938;2047207;2047651;2047915;2048182;2048430;2048961;2049557	+;+;+;+;+;+;+;+;+	3168	1120	1796	1641	1478	1519	1436	1498	1915	1672	1579	1842	1627
g70	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	2050096;2050179;2050397;2055907;2057066;2057410;2057588	2050105;2050327;2055080;2056346;2057354;2057531;2057671	+;+;+;+;+;+;+	5778	1302	1426	1361	1160	1180	1500	1316	1474	1347	1348	1406	1253
g71	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	2059042;2059042;2059182;2059247;2059247;2059260;2059885;2059885;2059885;2060147;2060147;2060147;2060364;2060364;2060364	2059091;2059091;2059187;2059467;2059467;2059467;2060093;2060093;2060093;2060304;2060304;2060304;2060547;2060547;2060547	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	828	2585	1387	1478	1555	1417	1512	2035	2735	2065	2545	2775	2487
g72	CHR1;CHR1	2063831;2063933	2063873;2064207	+;+	318	1	1	0	1	1	0	0	0	0	0	0	0
g73	CHR1;CHR1;CHR1;CHR1	2071057;2072095;2072270;2072333	2071071;2072208;2072842;2072842	+;+;+;+	702	2588	799	411	709	1679	216	496	389	354	377	338	311
g74	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	2076037;2076298;2076493;2076677;2076910;2077495;2078610	2076242;2076437;2076622;2076850;2077435;2077683;2078660	-;-;-;-;-;-;-	1416	1183	1099	1030	973	932	674	793	982	1155	820	1135	916
g75	CHR1	2078875	2079795	-	921	39	143	73	63	36	39	113	66	115	92	113	75
g76	CHR1;CHR1;CHR1	2113212;2135914;2150766	2113299;2136026;2150882	+;+;+	318	189	323	294	225	276	326	688	356	543	226	1089	277
g77	CHR1;CHR1	2152818;2153000	2152944;2153376	+;+	504	1481	692	805	634	278	759	796	247	963	1119	1784	967
