chrom	pos	cM_m	cM_f	LG
CHR10	11119862	20.758	40.278	LG10
CHR10	11119955	20.758	40.278	LG10
CHR10	1175305	23.536	75.000	LG10
CHR10	1175333	23.536	93.056	LG10
CHR10	1212917	23.536	65.278	LG10
CHR10	1212920	23.536	65.278	LG10
CHR10	12308211	23.536	79.167	LG10
CHR10	12866327	20.758	44.444	LG10
CHR10	12866382	22.147	45.833	LG10
CHR10	12866392	22.147	45.833	LG10
CHR10	12866397	22.147	45.833	LG10
CHR10	12892330	22.147	45.833	LG10
CHR10	13104751	26.314	112.500	LG10
CHR10	13104774	20.758	44.444	LG10
CHR10	13208051	22.147	47.222	LG10
CHR10	13589566	23.536	66.667	LG10
CHR10	13597416	22.147	62.500	LG10
CHR10	13889124	23.536	73.611	LG10
CHR10	13889159	23.536	73.611	LG10
CHR10	13909457	23.536	62.500	LG10
CHR10	13909468	23.536	62.500	LG10
CHR10	13909488	23.536	68.056	LG10
CHR10	14327933	23.536	66.667	LG10
CHR10	14327989	23.536	73.611	LG10
CHR10	14329807	23.536	66.667	LG10
CHR10	14329808	23.536	66.667	LG10
CHR10	14365099	2.703	16.667	LG10
CHR10	16115725	23.536	66.667	LG10
CHR10	16125281	23.536	65.278	LG10
CHR10	16125306	23.536	66.667	LG10
CHR10	16125743	22.147	62.500	LG10
CHR10	17610729	23.536	66.667	LG10
CHR10	20156186	26.314	112.500	LG10
CHR10	20479662	23.536	66.667	LG10
CHR10	20573307	23.536	66.667	LG10
CHR10	20699238	22.147	50.000	LG10
CHR10	20711446	23.536	62.500	LG10
CHR10	20723154	2.703	16.667	LG10
CHR10	21115830	23.536	66.667	LG10
CHR10	21117727	23.536	66.667	LG10
CHR10	21365946	22.147	50.000	LG10
CHR10	229176	24.925	106.944	LG10
CHR10	229184	24.925	106.944	LG10
CHR10	229195	24.925	106.944	LG10
CHR10	229203	24.925	106.944	LG10
CHR10	246802	23.536	100.000	LG10
CHR10	246813	24.925	112.500	LG10
CHR10	246863	23.536	100.000	LG10
CHR10	2589426	23.536	84.722	LG10
CHR10	2589474	23.536	84.722	LG10
CHR10	2589504	23.536	84.722	LG10
CHR10	264632	23.536	101.389	LG10
CHR10	286496	23.536	100.000	LG10
CHR10	286517	23.536	101.389	LG10
CHR10	3061591	23.536	81.944	LG10
CHR10	3061663	23.536	81.944	LG10
CHR10	3061671	23.536	81.944	LG10
CHR10	3061673	23.536	81.944	LG10
CHR10	3145195	23.536	81.944	LG10
CHR10	3145219	26.314	112.500	LG10
CHR10	3145285	13.814	18.056	LG10
CHR10	3155174	20.758	40.278	LG10
CHR10	3155183	23.536	81.944	LG10
CHR10	3155185	23.536	81.944	LG10
CHR10	3309405	23.536	80.556	LG10
CHR10	3675652	23.536	80.556	LG10
CHR10	3860824	23.536	68.056	LG10
CHR10	3860825	23.536	68.056	LG10
CHR10	4000170	23.536	75.000	LG10
CHR10	4000708	23.536	77.778	LG10
CHR10	4088547	23.536	68.056	LG10
CHR10	4088554	23.536	68.056	LG10
CHR10	4088572	23.536	68.056	LG10
CHR10	513780	26.314	112.500	LG10
CHR10	545924	26.314	113.889	LG10
CHR10	556538	23.536	101.389	LG10
CHR10	556573	24.925	109.722	LG10
CHR10	568494	27.703	115.556	LG10
CHR10	612161	23.536	97.222	LG10
CHR10	619629	23.536	101.389	LG10
CHR10	676257	27.703	118.889	LG10
CHR10	676263	27.703	118.889	LG10
CHR10	676275	27.703	118.889	LG10
CHR10	704987	23.536	95.833	LG10
CHR10	704989	23.536	97.222	LG10
CHR10	705071	23.536	97.222	LG10
CHR10	761754	23.536	95.833	LG10
CHR10	761765	23.536	95.833	LG10
CHR10	761767	23.536	95.833	LG10
CHR10	77658	24.925	106.944	LG10
CHR10	785584	26.314	112.500	LG10
CHR10	836271	24.925	106.944	LG10
CHR10	842068	26.314	113.889	LG10
CHR10	842098	26.314	112.500	LG10
CHR10	842113	26.314	112.500	LG10
CHR10	842122	24.925	112.500	LG10
CHR10	8468131	19.369	23.611	LG10
CHR10	8468134	19.369	23.611	LG10
CHR10	848624	13.814	18.056	LG10
CHR10	853136	26.314	112.500	LG10
CHR10	853165	26.314	112.500	LG10
CHR10	853201	27.703	113.889	LG10
CHR10	8535095	19.369	23.611	LG10
CHR10	8554986	13.814	18.056	LG10
CHR10	8697584	17.980	22.222	LG10
CHR10	8697599	17.980	22.222	LG10
CHR10	8697758	19.369	23.611	LG10
CHR10	880854	26.314	112.500	LG10
CHR10	880858	26.314	112.500	LG10
CHR10	880859	26.314	112.500	LG10
CHR10	880860	24.925	112.500	LG10
CHR10	880863	26.314	112.500	LG10
CHR10	880877	26.314	113.889	LG10
CHR10	880901	24.925	112.500	LG10
CHR10	880908	24.925	112.500	LG10
CHR10	8870060	17.980	23.611	LG10
CHR10	8870190	19.369	23.611	LG10
CHR10	8870198	13.814	18.056	LG10
CHR10	901944	23.536	95.833	LG10
CHR10	901946	24.925	112.500	LG10
CHR10	903177	26.314	112.500	LG10
CHR10	903189	26.314	112.500	LG10
CHR10	903201	26.314	112.500	LG10
CHR10	903243	26.314	112.500	LG10
CHR10	903247	26.314	112.500	LG10
CHR10	903249	26.314	112.500	LG10
CHR10	903252	27.703	113.889	LG10
CHR10	9067077	2.703	16.667	LG10
CHR10	9067146	4.092	16.667	LG10
CHR10	9102979	19.369	23.611	LG10
CHR10	9103058	19.369	30.556	LG10
CHR10	9103101	19.369	23.611	LG10
CHR10	9106573	4.092	16.667	LG10
CHR10	9106630	4.092	16.667	LG10
CHR10	9252863	26.314	112.500	LG10
CHR10	9305469	19.369	23.611	LG10
CHR10	9305471	13.814	16.667	LG10
CHR10	9309907	17.980	23.611	LG10
CHR10	9333153	19.369	23.611	LG10
CHR10	9333170	17.980	23.611	LG10
CHR10	9333179	2.703	16.667	LG10
CHR10	9333182	17.980	22.222	LG10
CHR10	9333211	17.980	22.222	LG10
CHR10	9401465	19.369	23.611	LG10
CHR10	9417588	17.980	22.222	LG10
CHR10	958431	26.314	113.889	LG10
CHR10	958455	26.314	113.889	LG10
CHR10	958576	23.536	93.056	LG10
CHR10	9807886	13.814	18.056	LG10
CHR10	9807887	13.814	18.056	LG10
CHR10	9807921	23.536	100.000	LG10
CHR10	9807922	23.536	100.000	LG10
CHR10	9814451	13.814	16.667	LG10
CHR10	9814473	26.314	112.500	LG10
CHR10	9814474	17.980	20.833	LG10
CHR10	9814476	26.314	112.500	LG10
CHR10	9814519	24.925	106.944	LG10
CHR10	9950483	19.369	38.889	LG10
chrom	pos	cM_m	cM_f	LG
CHR2	35975054	0.000	11.553	LG11
CHR2	35987135	0.000	11.553	LG11
CHR2	35987138	0.000	11.553	LG11
CHR2	36019856	0.000	11.553	LG11
CHR2	36019880	0.000	11.553	LG11
CHR2	36019924	0.000	11.553	LG11
CHR2	36020017	0.000	11.553	LG11
CHR2	37530221	0.000	7.205	LG11
CHR2	37530232	0.000	7.205	LG11
CHR2	37530261	0.000	7.205	LG11
CHR2	37530287	0.000	7.205	LG11
CHR2	37539008	0.000	7.205	LG11
CHR2	37644196	0.000	7.205	LG11
CHR2	40107735	0.000	0.000	LG11
CHR2	40816423	0.000	2.857	LG11
chrom	pos	cM_m	cM_f	LG
CHR3	29218393	16.216	8.163	LG12
CHR3	29218415	16.216	8.163	LG12
CHR5	20162870	16.216	4.082	LG12
CHR5	20162919	16.216	4.082	LG12
CHR7	30840934	16.216	10.204	LG12
CHR8	14297917	16.216	8.163	LG12
CHR10	20147421	0.000	0.000	LG12
CHR10	20147445	0.000	0.000	LG12
CHR10	20490865	16.216	8.163	LG12
CHR10	20490942	16.216	8.163	LG12
CHR10	21801328	16.216	6.122	LG12
chrom	pos	cM_m	cM_f	LG
CHR1	10084218	13.889	22.650	LG01
CHR1	10084264	29.167	46.261	LG01
CHR1	10109696	27.778	44.872	LG01
CHR1	10144358	27.778	33.761	LG01
CHR1	10144361	27.778	30.983	LG01
CHR1	10144401	13.889	22.650	LG01
CHR1	10289838	27.778	40.705	LG01
CHR1	10354118	36.111	60.150	LG01
CHR1	10560885	34.722	58.761	LG01
CHR1	10560894	34.722	58.761	LG01
CHR1	10560929	36.111	61.538	LG01
CHR1	10671761	36.111	71.261	LG01
CHR1	10671785	36.111	71.261	LG01
CHR1	10671836	36.111	69.872	LG01
CHR1	10842192	36.111	71.261	LG01
CHR1	10860061	29.167	46.261	LG01
CHR1	10860071	29.167	49.038	LG01
CHR1	10860121	29.167	46.261	LG01
CHR1	10860129	29.167	46.261	LG01
CHR1	10860144	29.167	46.261	LG01
CHR1	11065974	29.167	49.038	LG01
CHR1	11066041	29.167	49.038	LG01
CHR1	11123373	36.111	71.261	LG01
CHR1	11123385	36.111	71.261	LG01
CHR1	11123419	36.111	71.261	LG01
CHR1	11123449	29.167	46.261	LG01
CHR1	11123451	27.778	44.872	LG01
CHR1	11123456	29.167	46.261	LG01
CHR1	11185213	36.111	60.150	LG01
CHR1	11185222	36.111	60.150	LG01
CHR1	11185232	34.722	60.150	LG01
CHR1	11197932	34.722	60.150	LG01
CHR1	11232510	29.167	46.261	LG01
CHR1	11232520	29.167	46.261	LG01
CHR1	11232554	29.167	44.872	LG01
CHR1	11232557	29.167	46.261	LG01
CHR1	11232564	29.167	46.261	LG01
CHR1	11448851	29.167	46.261	LG01
CHR1	11448855	34.722	60.150	LG01
CHR1	11448864	36.111	61.538	LG01
CHR1	11567898	29.167	49.038	LG01
CHR1	11567904	34.722	60.150	LG01
CHR1	11567908	36.111	61.538	LG01
CHR1	11567932	36.111	61.538	LG01
CHR1	11620839	36.111	69.872	LG01
CHR1	11802563	36.111	61.538	LG01
CHR1	11802572	36.111	60.150	LG01
CHR1	12236600	29.167	51.816	LG01
CHR1	12245271	29.167	46.261	LG01
CHR1	12254370	29.167	46.261	LG01
CHR1	12265439	36.111	61.538	LG01
CHR1	12460823	29.167	50.427	LG01
CHR1	13051078	34.722	58.761	LG01
CHR1	13438845	34.722	60.150	LG01
CHR1	13697024	34.722	58.761	LG01
CHR1	1373719	12.500	14.316	LG01
CHR1	13746763	36.111	60.150	LG01
CHR1	13781804	30.556	51.816	LG01
CHR1	13781805	30.556	51.816	LG01
CHR1	13781822	29.167	51.816	LG01
CHR1	13781839	34.722	57.372	LG01
CHR1	1440272	0.000	0.000	LG01
CHR1	1440280	0.000	0.000	LG01
CHR1	1446189	13.889	14.316	LG01
CHR1	15163400	34.722	58.761	LG01
CHR1	15163431	34.722	60.150	LG01
CHR1	15475808	34.722	60.150	LG01
CHR1	15475907	34.722	58.761	LG01
CHR1	15475927	30.556	53.205	LG01
CHR1	15495872	36.111	60.150	LG01
CHR1	15495949	36.111	60.150	LG01
CHR1	15516919	36.111	60.150	LG01
CHR1	15557038	36.111	60.150	LG01
CHR1	15557042	36.111	60.150	LG01
CHR1	15562995	34.722	58.761	LG01
CHR1	15584422	29.167	51.816	LG01
CHR1	15584481	34.722	58.761	LG01
CHR1	15591238	30.556	53.205	LG01
CHR1	15591277	34.722	60.150	LG01
CHR1	15613958	36.111	68.483	LG01
CHR1	15618081	30.556	53.205	LG01
CHR1	15618159	34.722	60.150	LG01
CHR1	15618165	34.722	58.761	LG01
CHR1	15621504	34.722	58.761	LG01
CHR1	15691174	34.722	58.761	LG01
CHR1	15720724	34.722	58.761	LG01
CHR1	15771672	30.556	53.205	LG01
CHR1	15771817	30.556	53.205	LG01
CHR1	15771847	34.722	58.761	LG01
CHR1	15775020	36.111	60.150	LG01
CHR1	15775065	30.556	53.205	LG01
CHR1	15775113	36.111	68.483	LG01
CHR1	15777590	34.722	60.150	LG01
CHR1	15777592	34.722	58.761	LG01
CHR1	15777644	34.722	60.150	LG01
CHR1	15785909	30.556	53.205	LG01
CHR1	1581408	12.500	11.538	LG01
CHR1	1581450	27.778	28.205	LG01
CHR1	15827228	29.167	50.427	LG01
CHR1	15827246	29.167	50.427	LG01
CHR1	15843142	34.722	60.150	LG01
CHR1	15865760	34.722	58.761	LG01
CHR1	15865779	36.111	60.150	LG01
CHR1	15865973	30.556	53.205	LG01
CHR1	15912611	29.167	50.427	LG01
CHR1	15912613	29.167	51.816	LG01
CHR1	15912647	34.722	60.150	LG01
CHR1	15912671	36.111	68.483	LG01
CHR1	15915473	30.556	53.205	LG01
CHR1	15915485	30.556	53.205	LG01
CHR1	15915511	34.722	60.150	LG01
CHR1	15915519	36.111	67.094	LG01
CHR1	15977673	36.111	71.261	LG01
CHR1	15977734	36.111	71.261	LG01
CHR1	15977735	29.167	50.427	LG01
CHR1	16018126	34.722	58.761	LG01
CHR1	16130909	36.111	68.483	LG01
CHR1	16130912	36.111	68.483	LG01
CHR1	16130949	36.111	68.483	LG01
CHR1	16130994	34.722	58.761	LG01
CHR1	16131016	36.111	68.483	LG01
CHR1	16131044	34.722	58.761	LG01
CHR1	16131045	36.111	67.094	LG01
CHR1	16154607	34.722	60.150	LG01
CHR1	16213832	29.167	50.427	LG01
CHR1	16213867	29.167	50.427	LG01
CHR1	16213868	29.167	51.816	LG01
CHR1	1626616	27.778	28.205	LG01
CHR1	1626646	13.889	22.650	LG01
CHR1	1626668	13.889	19.872	LG01
CHR1	1638469	0.000	11.538	LG01
CHR1	1644636	13.889	17.094	LG01
CHR1	1644645	0.000	0.000	LG01
CHR1	1644764	13.889	17.094	LG01
CHR1	16466924	36.111	60.150	LG01
CHR1	1691495	0.000	11.538	LG01
CHR1	17085979	29.167	50.427	LG01
CHR1	17086008	29.167	51.816	LG01
CHR1	17117839	29.167	51.816	LG01
CHR1	17117864	29.167	50.427	LG01
CHR1	17157222	30.556	51.816	LG01
CHR1	17157223	29.167	50.427	LG01
CHR1	17157253	29.167	51.816	LG01
CHR1	17157259	29.167	50.427	LG01
CHR1	17157265	29.167	50.427	LG01
CHR1	17157266	30.556	51.816	LG01
CHR1	17207743	29.167	51.816	LG01
CHR1	17225549	30.556	53.205	LG01
CHR1	17484896	29.167	51.816	LG01
CHR1	17484914	29.167	50.427	LG01
CHR1	17484948	29.167	51.816	LG01
CHR1	17507922	29.167	51.816	LG01
CHR1	17507927	30.556	53.205	LG01
CHR1	17507959	29.167	51.816	LG01
CHR1	17507976	29.167	51.816	LG01
CHR1	17507979	29.167	51.816	LG01
CHR1	17508007	30.556	53.205	LG01
CHR1	17509227	30.556	53.205	LG01
CHR1	17509228	30.556	53.205	LG01
CHR1	17509240	36.111	60.150	LG01
CHR1	17509249	29.167	51.816	LG01
CHR1	17509256	29.167	51.816	LG01
CHR1	17509271	34.722	57.372	LG01
CHR1	17509277	29.167	51.816	LG01
CHR1	17509278	34.722	60.150	LG01
CHR1	17509287	30.556	51.816	LG01
CHR1	17509292	30.556	53.205	LG01
CHR1	17542333	29.167	51.816	LG01
CHR1	17542344	30.556	51.816	LG01
CHR1	17542353	36.111	60.150	LG01
CHR1	17542385	29.167	51.816	LG01
CHR1	17542415	29.167	51.816	LG01
CHR1	17542418	36.111	60.150	LG01
CHR1	17573338	29.167	51.816	LG01
CHR1	17573356	29.167	51.816	LG01
CHR1	17573380	29.167	51.816	LG01
CHR1	1843998	13.889	19.872	LG01
CHR1	1844023	13.889	19.872	LG01
CHR1	1844071	29.167	50.427	LG01
CHR1	18974685	34.722	57.372	LG01
CHR1	18974705	33.333	57.372	LG01
CHR1	19063873	36.111	60.150	LG01
CHR1	19063886	33.333	57.372	LG01
CHR1	19063960	30.556	53.205	LG01
CHR1	19079429	34.722	57.372	LG01
CHR1	19079454	34.722	60.150	LG01
CHR1	19079455	34.722	58.761	LG01
CHR1	19154777	29.167	50.427	LG01
CHR1	19195898	36.111	60.150	LG01
CHR1	19390255	34.722	57.372	LG01
CHR1	19438397	29.167	51.816	LG01
CHR1	1944109	27.778	28.205	LG01
CHR1	19528155	33.333	57.372	LG01
CHR1	1953207	13.889	19.872	LG01
CHR1	19560006	33.333	57.372	LG01
CHR1	19589548	36.111	60.150	LG01
CHR1	19622473	33.333	57.372	LG01
CHR1	19622474	34.722	57.372	LG01
CHR1	19622613	34.722	58.761	LG01
CHR1	19703292	34.722	60.150	LG01
CHR1	19964045	29.167	50.427	LG01
CHR1	20294675	30.556	53.205	LG01
CHR1	20294692	30.556	53.205	LG01
CHR1	2029747	13.889	19.872	LG01
CHR1	2029749	13.889	19.872	LG01
CHR1	2029755	13.889	19.872	LG01
CHR1	20322295	33.333	57.372	LG01
CHR1	20322320	34.722	57.372	LG01
CHR1	20322322	33.333	57.372	LG01
CHR1	2047541	13.889	19.872	LG01
CHR1	2047649	13.889	19.872	LG01
CHR1	2047655	13.889	19.872	LG01
CHR1	20591907	34.722	57.372	LG01
CHR1	20591918	34.722	57.372	LG01
CHR1	20591956	34.722	57.372	LG01
CHR1	20812338	34.722	57.372	LG01
CHR1	20812353	36.111	60.150	LG01
CHR1	2090413	13.889	19.872	LG01
CHR1	20931179	36.111	60.150	LG01
CHR1	20963564	36.111	60.150	LG01
CHR1	21029450	34.722	58.761	LG01
CHR1	21029452	34.722	58.761	LG01
CHR1	21029455	34.722	58.761	LG01
CHR1	21031259	33.333	57.372	LG01
CHR1	21076296	33.333	57.372	LG01
CHR1	21266058	34.722	57.372	LG01
CHR1	21300651	34.722	57.372	LG01
CHR1	21300691	33.333	57.372	LG01
CHR1	2133546	13.889	19.872	LG01
CHR1	21364552	34.722	60.150	LG01
CHR1	21395550	34.722	58.761	LG01
CHR1	21736924	34.722	58.761	LG01
CHR1	21757793	34.722	57.372	LG01
CHR1	21757811	34.722	58.761	LG01
CHR1	21783196	34.722	58.761	LG01
CHR1	21783210	34.722	57.372	LG01
CHR1	21783238	36.111	61.538	LG01
CHR1	21783239	36.111	60.150	LG01
CHR1	21783256	34.722	57.372	LG01
CHR1	2187740	18.056	25.427	LG01
CHR1	21923915	33.333	57.372	LG01
CHR1	21923950	33.333	57.372	LG01
CHR1	21986480	34.722	58.761	LG01
CHR1	22005444	29.167	50.427	LG01
CHR1	22005506	34.722	58.761	LG01
CHR1	2235610	18.056	25.427	LG01
CHR1	2235616	18.056	25.427	LG01
CHR1	2235619	18.056	25.427	LG01
CHR1	2235620	13.889	19.872	LG01
CHR1	2235650	18.056	25.427	LG01
CHR1	22449037	34.722	58.761	LG01
CHR1	22449048	34.722	58.761	LG01
CHR1	22458088	30.556	53.205	LG01
CHR1	22458089	30.556	53.205	LG01
CHR1	22458090	34.722	58.761	LG01
CHR1	22458122	34.722	58.761	LG01
CHR1	22458131	30.556	53.205	LG01
CHR1	22458157	34.722	58.761	LG01
CHR1	22458170	34.722	58.761	LG01
CHR1	22510448	29.167	46.261	LG01
CHR1	22510506	33.333	57.372	LG01
CHR1	22510523	34.722	60.150	LG01
CHR1	22510530	33.333	57.372	LG01
CHR1	22646033	34.722	58.761	LG01
CHR1	22724863	33.333	57.372	LG01
CHR1	22724895	30.556	53.205	LG01
CHR1	22835334	33.333	57.372	LG01
CHR1	22835359	33.333	57.372	LG01
CHR1	22835379	33.333	57.372	LG01
CHR1	22875259	34.722	60.150	LG01
CHR1	22875268	34.722	58.761	LG01
CHR1	22875274	33.333	57.372	LG01
CHR1	22875297	34.722	58.761	LG01
CHR1	22898836	34.722	58.761	LG01
CHR1	22913141	34.722	60.150	LG01
CHR1	22913150	34.722	60.150	LG01
CHR1	22913153	36.111	60.150	LG01
CHR1	2471056	13.889	21.261	LG01
CHR1	2471058	13.889	21.261	LG01
CHR1	2471113	0.000	11.538	LG01
CHR1	2601820	13.889	22.650	LG01
CHR1	2601871	13.889	22.650	LG01
CHR1	2803641	27.778	28.205	LG01
CHR1	2803713	27.778	28.205	LG01
CHR1	2834708	27.778	28.205	LG01
CHR1	3145986	26.389	28.205	LG01
CHR1	3251711	20.833	25.427	LG01
CHR1	3278946	20.833	25.427	LG01
CHR1	3278958	20.833	25.427	LG01
CHR1	3278985	20.833	25.427	LG01
CHR1	3278986	20.833	25.427	LG01
CHR1	3403718	20.833	25.427	LG01
CHR1	3403729	20.833	25.427	LG01
CHR1	3403868	20.833	25.427	LG01
CHR1	34261052	34.722	58.761	LG01
CHR1	34261058	34.722	60.150	LG01
CHR1	34261094	30.556	51.816	LG01
CHR1	34261110	34.722	58.761	LG01
CHR1	34261132	36.111	68.483	LG01
CHR1	34261138	34.722	58.761	LG01
CHR1	34266696	34.722	60.150	LG01
CHR1	34266712	36.111	68.483	LG01
CHR1	34266730	34.722	58.761	LG01
CHR1	34266835	36.111	60.150	LG01
CHR1	34271056	34.722	60.150	LG01
CHR1	34271263	36.111	60.150	LG01
CHR1	34271270	34.722	60.150	LG01
CHR1	34271290	33.333	57.372	LG01
CHR1	34271295	34.722	60.150	LG01
CHR1	34271296	36.111	60.150	LG01
CHR1	34271322	33.333	57.372	LG01
CHR1	34271348	34.722	58.761	LG01
CHR1	34271354	34.722	60.150	LG01
CHR1	34276793	34.722	60.150	LG01
CHR1	34276809	34.722	60.150	LG01
CHR1	34276844	34.722	60.150	LG01
CHR1	34276851	30.556	53.205	LG01
CHR1	34276879	36.111	60.150	LG01
CHR1	34282604	36.111	60.150	LG01
CHR1	34282619	34.722	60.150	LG01
CHR1	34282621	34.722	60.150	LG01
CHR1	34282647	34.722	60.150	LG01
CHR1	34282667	36.111	60.150	LG01
CHR1	34282681	36.111	60.150	LG01
CHR1	34282722	36.111	60.150	LG01
CHR1	34282726	36.111	60.150	LG01
CHR1	34282754	34.722	58.761	LG01
CHR1	34282761	34.722	60.150	LG01
CHR1	34282794	34.722	60.150	LG01
CHR1	3433235	20.833	25.427	LG01
CHR1	34357981	34.722	58.761	LG01
CHR1	34358077	34.722	60.150	LG01
CHR1	34358078	36.111	68.483	LG01
CHR1	34358080	29.167	50.427	LG01
CHR1	34358086	36.111	60.150	LG01
CHR1	34358106	34.722	60.150	LG01
CHR1	34358140	34.722	58.761	LG01
CHR1	34364072	34.722	58.761	LG01
CHR1	34364089	33.333	57.372	LG01
CHR1	34364095	34.722	58.761	LG01
CHR1	34364096	36.111	68.483	LG01
CHR1	34364109	33.333	57.372	LG01
CHR1	34364110	33.333	57.372	LG01
CHR1	34364122	34.722	58.761	LG01
CHR1	34372790	36.111	68.483	LG01
CHR1	34378473	36.111	68.483	LG01
CHR1	34378512	36.111	60.150	LG01
CHR1	34378544	34.722	58.761	LG01
CHR1	34378545	34.722	60.150	LG01
CHR1	34388221	34.722	58.761	LG01
CHR1	34388250	34.722	60.150	LG01
CHR1	34388253	30.556	53.205	LG01
CHR1	34517310	34.722	58.761	LG01
CHR1	34517323	30.556	53.205	LG01
CHR1	34517327	36.111	68.483	LG01
CHR1	34524672	36.111	60.150	LG01
CHR1	34524684	36.111	60.150	LG01
CHR1	34524689	34.722	60.150	LG01
CHR1	34566712	36.111	61.538	LG01
CHR1	34595543	36.111	60.150	LG01
CHR1	34595573	36.111	68.483	LG01
CHR1	34595574	36.111	67.094	LG01
CHR1	34595604	34.722	60.150	LG01
CHR1	34598552	34.722	60.150	LG01
CHR1	34598559	34.722	58.761	LG01
CHR1	34598583	34.722	60.150	LG01
CHR1	34609780	33.333	57.372	LG01
CHR1	34613545	34.722	57.372	LG01
CHR1	34617084	33.333	57.372	LG01
CHR1	34617136	36.111	60.150	LG01
CHR1	34617142	34.722	60.150	LG01
CHR1	34617151	34.722	58.761	LG01
CHR1	34634443	36.111	60.150	LG01
CHR1	34634452	36.111	60.150	LG01
CHR1	34634479	36.111	68.483	LG01
CHR1	34638934	33.333	57.372	LG01
CHR1	34638959	34.722	58.761	LG01
CHR1	34638966	33.333	57.372	LG01
CHR1	34638973	34.722	58.761	LG01
CHR1	34639028	33.333	57.372	LG01
CHR1	34639041	36.111	80.983	LG01
CHR1	34639050	33.333	57.372	LG01
CHR1	34639056	34.722	60.150	LG01
CHR1	34639061	33.333	57.372	LG01
CHR1	34639064	33.333	57.372	LG01
CHR1	34639080	36.111	80.983	LG01
CHR1	34639104	33.333	57.372	LG01
CHR1	34639117	33.333	57.372	LG01
CHR1	34639124	34.722	60.150	LG01
CHR1	34643642	33.333	57.372	LG01
CHR1	34643646	36.111	69.872	LG01
CHR1	34643655	33.333	57.372	LG01
CHR1	34643668	36.111	68.483	LG01
CHR1	34643673	34.722	60.150	LG01
CHR1	34643675	36.111	60.150	LG01
CHR1	34665866	34.722	57.372	LG01
CHR1	34665882	36.111	69.872	LG01
CHR1	34665905	34.722	60.150	LG01
CHR1	34665912	34.722	58.761	LG01
CHR1	34665931	34.722	60.150	LG01
CHR1	34665932	34.722	60.150	LG01
CHR1	3467381	18.056	25.427	LG01
CHR1	34675051	34.722	60.150	LG01
CHR1	34675101	36.111	60.150	LG01
CHR1	34675109	34.722	60.150	LG01
CHR1	34675131	34.722	57.372	LG01
CHR1	34692971	34.722	60.150	LG01
CHR1	34708872	36.111	68.483	LG01
CHR1	34708875	36.111	68.483	LG01
CHR1	34747819	36.111	68.483	LG01
CHR1	34747824	33.333	57.372	LG01
CHR1	34747826	34.722	57.372	LG01
CHR1	34747858	36.111	67.094	LG01
CHR1	34747864	36.111	68.483	LG01
CHR1	34749687	36.111	68.483	LG01
CHR1	34749713	36.111	68.483	LG01
CHR1	34749719	34.722	60.150	LG01
CHR1	34790524	36.111	68.483	LG01
CHR1	34790599	36.111	68.483	LG01
CHR1	34799592	36.111	60.150	LG01
CHR1	34799604	36.111	60.150	LG01
CHR1	34818582	36.111	60.150	LG01
CHR1	34818597	36.111	68.483	LG01
CHR1	34818635	36.111	68.483	LG01
CHR1	34818636	36.111	68.483	LG01
CHR1	34818638	36.111	68.483	LG01
CHR1	34836344	36.111	61.538	LG01
