seqnames	start.x	end.x	coverage	mid	perc	length	start.y	end.y	color	chromosome	chromStarts	chromEnds	chromMid	genomic_position
CHR1	1800001	1900000	39626	1850000.5	0.39626	53807401	0	53807401	gray80	1	1	53807401	26903700.5	1850001.5
CHR1	1900001	2000000	34985	1950000.5	0.34985	53807401	0	53807401	gray80	1	1	53807401	26903700.5	1950001.5
CHR1	2000001	2100000	30055	2050000.5	0.30055	53807401	0	53807401	gray80	1	1	53807401	26903700.5	2050001.5
CHR1	2100001	2200000	42552	2150000.5	0.42552	53807401	0	53807401	gray80	1	1	53807401	26903700.5	2150001.5
CHR1	2200001	2300000	16419	2250000.5	0.16419	53807401	0	53807401	gray80	1	1	53807401	26903700.5	2250001.5
CHR1	2300001	2400000	32678	2350000.5	0.32678	53807401	0	53807401	gray80	1	1	53807401	26903700.5	2350001.5
CHR1	2400001	2500000	33984	2450000.5	0.33984	53807401	0	53807401	gray80	1	1	53807401	26903700.5	2450001.5
CHR1	2500001	2600000	23542	2550000.5	0.23542	53807401	0	53807401	gray80	1	1	53807401	26903700.5	2550001.5
CHR1	2600001	2700000	27720	2650000.5	0.2772	53807401	0	53807401	gray80	1	1	53807401	26903700.5	2650001.5
CHR1	2700001	2800000	46141	2750000.5	0.46141	53807401	0	53807401	gray80	1	1	53807401	26903700.5	2750001.5
CHR1	2800001	2900000	32862	2850000.5	0.32862	53807401	0	53807401	gray80	1	1	53807401	26903700.5	2850001.5
CHR1	2900001	3000000	28908	2950000.5	0.28908	53807401	0	53807401	gray80	1	1	53807401	26903700.5	2950001.5
CHR1	3000001	3100000	35379	3050000.5	0.35379	53807401	0	53807401	gray80	1	1	53807401	26903700.5	3050001.5
CHR1	3100001	3200000	46079	3150000.5	0.46079	53807401	0	53807401	gray80	1	1	53807401	26903700.5	3150001.5
CHR1	3200001	3300000	43117	3250000.5	0.43117	53807401	0	53807401	gray80	1	1	53807401	26903700.5	3250001.5
CHR1	3300001	3400000	38404	3350000.5	0.38404	53807401	0	53807401	gray80	1	1	53807401	26903700.5	3350001.5
CHR1	3400001	3500000	30860	3450000.5	0.3086	53807401	0	53807401	gray80	1	1	53807401	26903700.5	3450001.5
CHR1	3500001	3600000	40137	3550000.5	0.40137	53807401	0	53807401	gray80	1	1	53807401	26903700.5	3550001.5
CHR1	3600001	3700000	16732	3650000.5	0.16732	53807401	0	53807401	gray80	1	1	53807401	26903700.5	3650001.5
CHR1	3700001	3800000	18297	3750000.5	0.18297	53807401	0	53807401	gray80	1	1	53807401	26903700.5	3750001.5
CHR1	3800001	3900000	32359	3850000.5	0.32359	53807401	0	53807401	gray80	1	1	53807401	26903700.5	3850001.5
CHR1	3900001	4000000	26813	3950000.5	0.26813	53807401	0	53807401	gray80	1	1	53807401	26903700.5	3950001.5
CHR1	4000001	4100000	39403	4050000.5	0.39403	53807401	0	53807401	gray80	1	1	53807401	26903700.5	4050001.5
CHR1	4100001	4200000	22856	4150000.5	0.22856	53807401	0	53807401	gray80	1	1	53807401	26903700.5	4150001.5
CHR1	4200001	4300000	32659	4250000.5	0.32659	53807401	0	53807401	gray80	1	1	53807401	26903700.5	4250001.5
CHR1	4300001	4400000	12731	4350000.5	0.12731	53807401	0	53807401	gray80	1	1	53807401	26903700.5	4350001.5
CHR1	4400001	4500000	32547	4450000.5	0.32547	53807401	0	53807401	gray80	1	1	53807401	26903700.5	4450001.5
CHR1	4500001	4600000	39107	4550000.5	0.39107	53807401	0	53807401	gray80	1	1	53807401	26903700.5	4550001.5
CHR1	4600001	4700000	33451	4650000.5	0.33451	53807401	0	53807401	gray80	1	1	53807401	26903700.5	4650001.5
CHR1	4700001	4800000	34672	4750000.5	0.34672	53807401	0	53807401	gray80	1	1	53807401	26903700.5	4750001.5
CHR1	4800001	4900000	36756	4850000.5	0.36756	53807401	0	53807401	gray80	1	1	53807401	26903700.5	4850001.5
CHR1	4900001	5000000	30705	4950000.5	0.30705	53807401	0	53807401	gray80	1	1	53807401	26903700.5	4950001.5
CHR1	5000001	5100000	24770	5050000.5	0.2477	53807401	0	53807401	gray80	1	1	53807401	26903700.5	5050001.5
CHR1	5100001	5200000	31100	5150000.5	0.311	53807401	0	53807401	gray80	1	1	53807401	26903700.5	5150001.5
CHR1	5200001	5300000	34229	5250000.5	0.34229	53807401	0	53807401	gray80	1	1	53807401	26903700.5	5250001.5
CHR1	5300001	5400000	37723	5350000.5	0.37723	53807401	0	53807401	gray80	1	1	53807401	26903700.5	5350001.5
CHR1	5400001	5500000	48771	5450000.5	0.48771	53807401	0	53807401	gray80	1	1	53807401	26903700.5	5450001.5
CHR1	5500001	5600000	43140	5550000.5	0.4314	53807401	0	53807401	gray80	1	1	53807401	26903700.5	5550001.5
CHR1	5600001	5700000	40258	5650000.5	0.40258	53807401	0	53807401	gray80	1	1	53807401	26903700.5	5650001.5
CHR1	5700001	5800000	39806	5750000.5	0.39806	53807401	0	53807401	gray80	1	1	53807401	26903700.5	5750001.5
CHR1	5800001	5900000	21827	5850000.5	0.21827	53807401	0	53807401	gray80	1	1	53807401	26903700.5	5850001.5
CHR1	5900001	6000000	30374	5950000.5	0.30374	53807401	0	53807401	gray80	1	1	53807401	26903700.5	5950001.5
CHR1	6000001	6100000	47106	6050000.5	0.47106	53807401	0	53807401	gray80	1	1	53807401	26903700.5	6050001.5
CHR1	6100001	6200000	41838	6150000.5	0.41838	53807401	0	53807401	gray80	1	1	53807401	26903700.5	6150001.5
CHR1	6200001	6300000	36341	6250000.5	0.36341	53807401	0	53807401	gray80	1	1	53807401	26903700.5	6250001.5
CHR1	6300001	6400000	40068	6350000.5	0.40068	53807401	0	53807401	gray80	1	1	53807401	26903700.5	6350001.5
CHR1	6400001	6500000	43614	6450000.5	0.43614	53807401	0	53807401	gray80	1	1	53807401	26903700.5	6450001.5
CHR1	6500001	6600000	45084	6550000.5	0.45084	53807401	0	53807401	gray80	1	1	53807401	26903700.5	6550001.5
CHR1	6600001	6700000	21221	6650000.5	0.21221	53807401	0	53807401	gray80	1	1	53807401	26903700.5	6650001.5
CHR1	6700001	6800000	40432	6750000.5	0.40432	53807401	0	53807401	gray80	1	1	53807401	26903700.5	6750001.5
CHR1	6800001	6900000	58687	6850000.5	0.58687	53807401	0	53807401	gray80	1	1	53807401	26903700.5	6850001.5
CHR1	6900001	7000000	41896	6950000.5	0.41896	53807401	0	53807401	gray80	1	1	53807401	26903700.5	6950001.5
CHR1	7000001	7100000	34751	7050000.5	0.34751	53807401	0	53807401	gray80	1	1	53807401	26903700.5	7050001.5
CHR1	7100001	7200000	38188	7150000.5	0.38188	53807401	0	53807401	gray80	1	1	53807401	26903700.5	7150001.5
CHR1	7200001	7300000	28526	7250000.5	0.28526	53807401	0	53807401	gray80	1	1	53807401	26903700.5	7250001.5
CHR1	7300001	7400000	26435	7350000.5	0.26435	53807401	0	53807401	gray80	1	1	53807401	26903700.5	7350001.5
CHR1	7400001	7500000	46364	7450000.5	0.46364	53807401	0	53807401	gray80	1	1	53807401	26903700.5	7450001.5
CHR1	7500001	7600000	40472	7550000.5	0.40472	53807401	0	53807401	gray80	1	1	53807401	26903700.5	7550001.5
CHR1	7600001	7700000	48472	7650000.5	0.48472	53807401	0	53807401	gray80	1	1	53807401	26903700.5	7650001.5
CHR1	7700001	7800000	39403	7750000.5	0.39403	53807401	0	53807401	gray80	1	1	53807401	26903700.5	7750001.5
CHR1	7800001	7900000	43664	7850000.5	0.43664	53807401	0	53807401	gray80	1	1	53807401	26903700.5	7850001.5
CHR1	7900001	8000000	37216	7950000.5	0.37216	53807401	0	53807401	gray80	1	1	53807401	26903700.5	7950001.5
CHR1	8000001	8100000	27581	8050000.5	0.27581	53807401	0	53807401	gray80	1	1	53807401	26903700.5	8050001.5
CHR1	8100001	8200000	37125	8150000.5	0.37125	53807401	0	53807401	gray80	1	1	53807401	26903700.5	8150001.5
CHR1	8200001	8300000	29092	8250000.5	0.29092	53807401	0	53807401	gray80	1	1	53807401	26903700.5	8250001.5
CHR1	8300001	8400000	30599	8350000.5	0.30599	53807401	0	53807401	gray80	1	1	53807401	26903700.5	8350001.5
CHR1	8400001	8500000	43271	8450000.5	0.43271	53807401	0	53807401	gray80	1	1	53807401	26903700.5	8450001.5
CHR1	8500001	8600000	44166	8550000.5	0.44166	53807401	0	53807401	gray80	1	1	53807401	26903700.5	8550001.5
CHR1	8600001	8700000	31517	8650000.5	0.31517	53807401	0	53807401	gray80	1	1	53807401	26903700.5	8650001.5
CHR1	8700001	8800000	41923	8750000.5	0.41923	53807401	0	53807401	gray80	1	1	53807401	26903700.5	8750001.5
CHR1	8800001	8900000	36641	8850000.5	0.36641	53807401	0	53807401	gray80	1	1	53807401	26903700.5	8850001.5
CHR1	8900001	9000000	37222	8950000.5	0.37222	53807401	0	53807401	gray80	1	1	53807401	26903700.5	8950001.5
CHR1	9000001	9100000	35453	9050000.5	0.35453	53807401	0	53807401	gray80	1	1	53807401	26903700.5	9050001.5
CHR1	9100001	9200000	45683	9150000.5	0.45683	53807401	0	53807401	gray80	1	1	53807401	26903700.5	9150001.5
CHR1	9200001	9300000	48816	9250000.5	0.48816	53807401	0	53807401	gray80	1	1	53807401	26903700.5	9250001.5
CHR1	9300001	9400000	67892	9350000.5	0.67892	53807401	0	53807401	gray80	1	1	53807401	26903700.5	9350001.5
CHR1	9400001	9500000	39057	9450000.5	0.39057	53807401	0	53807401	gray80	1	1	53807401	26903700.5	9450001.5
CHR1	9500001	9600000	38967	9550000.5	0.38967	53807401	0	53807401	gray80	1	1	53807401	26903700.5	9550001.5
CHR1	9600001	9700000	26896	9650000.5	0.26896	53807401	0	53807401	gray80	1	1	53807401	26903700.5	9650001.5
CHR1	9700001	9800000	44413	9750000.5	0.44413	53807401	0	53807401	gray80	1	1	53807401	26903700.5	9750001.5
CHR1	9800001	9900000	41389	9850000.5	0.41389	53807401	0	53807401	gray80	1	1	53807401	26903700.5	9850001.5
CHR1	9900001	10000000	33527	9950000.5	0.33527	53807401	0	53807401	gray80	1	1	53807401	26903700.5	9950001.5
CHR1	10000001	10100000	36127	10050000.5	0.36127	53807401	0	53807401	gray80	1	1	53807401	26903700.5	10050001.5
CHR1	10100001	10200000	41249	10150000.5	0.41249	53807401	0	53807401	gray80	1	1	53807401	26903700.5	10150001.5
CHR1	10200001	10300000	38018	10250000.5	0.38018	53807401	0	53807401	gray80	1	1	53807401	26903700.5	10250001.5
CHR1	10300001	10400000	37511	10350000.5	0.37511	53807401	0	53807401	gray80	1	1	53807401	26903700.5	10350001.5
CHR1	10400001	10500000	59347	10450000.5	0.59347	53807401	0	53807401	gray80	1	1	53807401	26903700.5	10450001.5
CHR1	10500001	10600000	37231	10550000.5	0.37231	53807401	0	53807401	gray80	1	1	53807401	26903700.5	10550001.5
CHR1	10600001	10700000	30101	10650000.5	0.30101	53807401	0	53807401	gray80	1	1	53807401	26903700.5	10650001.5
CHR1	10700001	10800000	42404	10750000.5	0.42404	53807401	0	53807401	gray80	1	1	53807401	26903700.5	10750001.5
CHR1	10800001	10900000	38607	10850000.5	0.38607	53807401	0	53807401	gray80	1	1	53807401	26903700.5	10850001.5
CHR1	10900001	11000000	44676	10950000.5	0.44676	53807401	0	53807401	gray80	1	1	53807401	26903700.5	10950001.5
CHR1	11000001	11100000	50423	11050000.5	0.50423	53807401	0	53807401	gray80	1	1	53807401	26903700.5	11050001.5
CHR1	11100001	11200000	36884	11150000.5	0.36884	53807401	0	53807401	gray80	1	1	53807401	26903700.5	11150001.5
CHR1	11200001	11300000	50550	11250000.5	0.5055	53807401	0	53807401	gray80	1	1	53807401	26903700.5	11250001.5
CHR1	11300001	11400000	54280	11350000.5	0.5428	53807401	0	53807401	gray80	1	1	53807401	26903700.5	11350001.5
CHR1	11400001	11500000	50037	11450000.5	0.50037	53807401	0	53807401	gray80	1	1	53807401	26903700.5	11450001.5
CHR1	11500001	11600000	40435	11550000.5	0.40435	53807401	0	53807401	gray80	1	1	53807401	26903700.5	11550001.5
CHR1	11600001	11700000	40923	11650000.5	0.40923	53807401	0	53807401	gray80	1	1	53807401	26903700.5	11650001.5
CHR1	11700001	11800000	60118	11750000.5	0.60118	53807401	0	53807401	gray80	1	1	53807401	26903700.5	11750001.5
CHR1	11800001	11900000	50492	11850000.5	0.50492	53807401	0	53807401	gray80	1	1	53807401	26903700.5	11850001.5
CHR1	11900001	12000000	34923	11950000.5	0.34923	53807401	0	53807401	gray80	1	1	53807401	26903700.5	11950001.5
CHR1	12000001	12100000	62262	12050000.5	0.62262	53807401	0	53807401	gray80	1	1	53807401	26903700.5	12050001.5
CHR1	12100001	12200000	45549	12150000.5	0.45549	53807401	0	53807401	gray80	1	1	53807401	26903700.5	12150001.5
CHR1	12200001	12300000	20351	12250000.5	0.20351	53807401	0	53807401	gray80	1	1	53807401	26903700.5	12250001.5
CHR1	12300001	12400000	38727	12350000.5	0.38727	53807401	0	53807401	gray80	1	1	53807401	26903700.5	12350001.5
CHR1	12400001	12500000	52615	12450000.5	0.52615	53807401	0	53807401	gray80	1	1	53807401	26903700.5	12450001.5
CHR1	12500001	12600000	52847	12550000.5	0.52847	53807401	0	53807401	gray80	1	1	53807401	26903700.5	12550001.5
CHR1	12600001	12700000	47254	12650000.5	0.47254	53807401	0	53807401	gray80	1	1	53807401	26903700.5	12650001.5
CHR1	12700001	12800000	48826	12750000.5	0.48826	53807401	0	53807401	gray80	1	1	53807401	26903700.5	12750001.5
CHR1	12800001	12900000	36452	12850000.5	0.36452	53807401	0	53807401	gray80	1	1	53807401	26903700.5	12850001.5
CHR1	12900001	13000000	53175	12950000.5	0.53175	53807401	0	53807401	gray80	1	1	53807401	26903700.5	12950001.5
CHR1	13000001	13100000	53088	13050000.5	0.53088	53807401	0	53807401	gray80	1	1	53807401	26903700.5	13050001.5
CHR1	13100001	13200000	58053	13150000.5	0.58053	53807401	0	53807401	gray80	1	1	53807401	26903700.5	13150001.5
CHR1	13200001	13300000	48144	13250000.5	0.48144	53807401	0	53807401	gray80	1	1	53807401	26903700.5	13250001.5
CHR1	13300001	13400000	52819	13350000.5	0.52819	53807401	0	53807401	gray80	1	1	53807401	26903700.5	13350001.5
CHR1	13400001	13500000	43954	13450000.5	0.43954	53807401	0	53807401	gray80	1	1	53807401	26903700.5	13450001.5
CHR1	13500001	13600000	40568	13550000.5	0.40568	53807401	0	53807401	gray80	1	1	53807401	26903700.5	13550001.5
CHR1	13600001	13700000	30328	13650000.5	0.30328	53807401	0	53807401	gray80	1	1	53807401	26903700.5	13650001.5
CHR1	13700001	13800000	54983	13750000.5	0.54983	53807401	0	53807401	gray80	1	1	53807401	26903700.5	13750001.5
CHR1	13800001	13900000	106325	13850000.5	1	53807401	0	53807401	gray80	1	1	53807401	26903700.5	13850001.5
CHR1	13900001	14000000	92637	13950000.5	0.92637	53807401	0	53807401	gray80	1	1	53807401	26903700.5	13950001.5
CHR1	14000001	14100000	100299	14050000.5	1	53807401	0	53807401	gray80	1	1	53807401	26903700.5	14050001.5
CHR1	14100001	14200000	104239	14150000.5	1	53807401	0	53807401	gray80	1	1	53807401	26903700.5	14150001.5
CHR1	14200001	14300000	102139	14250000.5	1	53807401	0	53807401	gray80	1	1	53807401	26903700.5	14250001.5
CHR1	14300001	14400000	100606	14350000.5	1	53807401	0	53807401	gray80	1	1	53807401	26903700.5	14350001.5
CHR1	14400001	14500000	93295	14450000.5	0.93295	53807401	0	53807401	gray80	1	1	53807401	26903700.5	14450001.5
CHR1	14500001	14600000	74998	14550000.5	0.74998	53807401	0	53807401	gray80	1	1	53807401	26903700.5	14550001.5
CHR1	14600001	14700000	80593	14650000.5	0.80593	53807401	0	53807401	gray80	1	1	53807401	26903700.5	14650001.5
CHR1	14700001	14800000	87446	14750000.5	0.87446	53807401	0	53807401	gray80	1	1	53807401	26903700.5	14750001.5
CHR1	14800001	14900000	88439	14850000.5	0.88439	53807401	0	53807401	gray80	1	1	53807401	26903700.5	14850001.5
CHR1	14900001	15000000	94475	14950000.5	0.94475	53807401	0	53807401	gray80	1	1	53807401	26903700.5	14950001.5
CHR1	15000001	15100000	88545	15050000.5	0.88545	53807401	0	53807401	gray80	1	1	53807401	26903700.5	15050001.5
CHR1	15100001	15200000	90535	15150000.5	0.90535	53807401	0	53807401	gray80	1	1	53807401	26903700.5	15150001.5
CHR1	15200001	15300000	75158	15250000.5	0.75158	53807401	0	53807401	gray80	1	1	53807401	26903700.5	15250001.5
CHR1	15300001	15400000	77662	15350000.5	0.77662	53807401	0	53807401	gray80	1	1	53807401	26903700.5	15350001.5
CHR1	15400001	15500000	77058	15450000.5	0.77058	53807401	0	53807401	gray80	1	1	53807401	26903700.5	15450001.5
CHR1	15500001	15600000	83019	15550000.5	0.83019	53807401	0	53807401	gray80	1	1	53807401	26903700.5	15550001.5
CHR1	15600001	15700000	80421	15650000.5	0.80421	53807401	0	53807401	gray80	1	1	53807401	26903700.5	15650001.5
CHR1	15700001	15800000	79130	15750000.5	0.7913	53807401	0	53807401	gray80	1	1	53807401	26903700.5	15750001.5
CHR1	15800001	15900000	82561	15850000.5	0.82561	53807401	0	53807401	gray80	1	1	53807401	26903700.5	15850001.5
CHR1	15900001	16000000	83423	15950000.5	0.83423	53807401	0	53807401	gray80	1	1	53807401	26903700.5	15950001.5
CHR1	16000001	16100000	86184	16050000.5	0.86184	53807401	0	53807401	gray80	1	1	53807401	26903700.5	16050001.5
CHR1	16100001	16200000	90886	16150000.5	0.90886	53807401	0	53807401	gray80	1	1	53807401	26903700.5	16150001.5
CHR1	16200001	16300000	83144	16250000.5	0.83144	53807401	0	53807401	gray80	1	1	53807401	26903700.5	16250001.5
CHR1	16300001	16400000	84632	16350000.5	0.84632	53807401	0	53807401	gray80	1	1	53807401	26903700.5	16350001.5
CHR1	16400001	16500000	89362	16450000.5	0.89362	53807401	0	53807401	gray80	1	1	53807401	26903700.5	16450001.5
CHR1	16500001	16600000	78302	16550000.5	0.78302	53807401	0	53807401	gray80	1	1	53807401	26903700.5	16550001.5
CHR1	16600001	16700000	76398	16650000.5	0.76398	53807401	0	53807401	gray80	1	1	53807401	26903700.5	16650001.5
CHR1	16700001	16800000	83184	16750000.5	0.83184	53807401	0	53807401	gray80	1	1	53807401	26903700.5	16750001.5
CHR1	16800001	16900000	86139	16850000.5	0.86139	53807401	0	53807401	gray80	1	1	53807401	26903700.5	16850001.5
CHR1	16900001	17000000	89902	16950000.5	0.89902	53807401	0	53807401	gray80	1	1	53807401	26903700.5	16950001.5
CHR1	17000001	17100000	85948	17050000.5	0.85948	53807401	0	53807401	gray80	1	1	53807401	26903700.5	17050001.5
CHR1	17100001	17200000	65799	17150000.5	0.65799	53807401	0	53807401	gray80	1	1	53807401	26903700.5	17150001.5
CHR1	17200001	17300000	90587	17250000.5	0.90587	53807401	0	53807401	gray80	1	1	53807401	26903700.5	17250001.5
CHR1	17300001	17400000	70436	17350000.5	0.70436	53807401	0	53807401	gray80	1	1	53807401	26903700.5	17350001.5
CHR1	17400001	17500000	64249	17450000.5	0.64249	53807401	0	53807401	gray80	1	1	53807401	26903700.5	17450001.5
CHR1	17500001	17600000	81948	17550000.5	0.81948	53807401	0	53807401	gray80	1	1	53807401	26903700.5	17550001.5
CHR1	17600001	17700000	78010	17650000.5	0.7801	53807401	0	53807401	gray80	1	1	53807401	26903700.5	17650001.5
CHR1	17700001	17800000	82001	17750000.5	0.82001	53807401	0	53807401	gray80	1	1	53807401	26903700.5	17750001.5
CHR1	17800001	17900000	82762	17850000.5	0.82762	53807401	0	53807401	gray80	1	1	53807401	26903700.5	17850001.5
CHR1	17900001	18000000	75121	17950000.5	0.75121	53807401	0	53807401	gray80	1	1	53807401	26903700.5	17950001.5
CHR1	18000001	18100000	69490	18050000.5	0.6949	53807401	0	53807401	gray80	1	1	53807401	26903700.5	18050001.5
CHR1	18100001	18200000	92669	18150000.5	0.92669	53807401	0	53807401	gray80	1	1	53807401	26903700.5	18150001.5
CHR1	18200001	18300000	73206	18250000.5	0.73206	53807401	0	53807401	gray80	1	1	53807401	26903700.5	18250001.5
CHR1	18300001	18400000	80230	18350000.5	0.8023	53807401	0	53807401	gray80	1	1	53807401	26903700.5	18350001.5
CHR1	18400001	18500000	73120	18450000.5	0.7312	53807401	0	53807401	gray80	1	1	53807401	26903700.5	18450001.5
CHR1	18500001	18600000	67402	18550000.5	0.67402	53807401	0	53807401	gray80	1	1	53807401	26903700.5	18550001.5
CHR1	18600001	18700000	95020	18650000.5	0.9502	53807401	0	53807401	gray80	1	1	53807401	26903700.5	18650001.5
CHR1	18700001	18800000	76755	18750000.5	0.76755	53807401	0	53807401	gray80	1	1	53807401	26903700.5	18750001.5
CHR1	18800001	18900000	86848	18850000.5	0.86848	53807401	0	53807401	gray80	1	1	53807401	26903700.5	18850001.5
CHR1	18900001	19000000	89631	18950000.5	0.89631	53807401	0	53807401	gray80	1	1	53807401	26903700.5	18950001.5
CHR1	19000001	19100000	72857	19050000.5	0.72857	53807401	0	53807401	gray80	1	1	53807401	26903700.5	19050001.5
CHR1	19100001	19200000	70776	19150000.5	0.70776	53807401	0	53807401	gray80	1	1	53807401	26903700.5	19150001.5
CHR1	19200001	19300000	56559	19250000.5	0.56559	53807401	0	53807401	gray80	1	1	53807401	26903700.5	19250001.5
CHR1	19300001	19400000	88225	19350000.5	0.88225	53807401	0	53807401	gray80	1	1	53807401	26903700.5	19350001.5
CHR1	19400001	19500000	86516	19450000.5	0.86516	53807401	0	53807401	gray80	1	1	53807401	26903700.5	19450001.5
CHR1	19500001	19600000	74963	19550000.5	0.74963	53807401	0	53807401	gray80	1	1	53807401	26903700.5	19550001.5
CHR1	19600001	19700000	76823	19650000.5	0.76823	53807401	0	53807401	gray80	1	1	53807401	26903700.5	19650001.5
CHR1	19700001	19800000	80792	19750000.5	0.80792	53807401	0	53807401	gray80	1	1	53807401	26903700.5	19750001.5
CHR1	19800001	19900000	87156	19850000.5	0.87156	53807401	0	53807401	gray80	1	1	53807401	26903700.5	19850001.5
CHR1	19900001	20000000	69568	19950000.5	0.69568	53807401	0	53807401	gray80	1	1	53807401	26903700.5	19950001.5
CHR1	20000001	20100000	73047	20050000.5	0.73047	53807401	0	53807401	gray80	1	1	53807401	26903700.5	20050001.5
CHR1	20100001	20200000	83015	20150000.5	0.83015	53807401	0	53807401	gray80	1	1	53807401	26903700.5	20150001.5
CHR1	20200001	20300000	88820	20250000.5	0.8882	53807401	0	53807401	gray80	1	1	53807401	26903700.5	20250001.5
CHR1	20300001	20400000	77080	20350000.5	0.7708	53807401	0	53807401	gray80	1	1	53807401	26903700.5	20350001.5
CHR1	20400001	20500000	75697	20450000.5	0.75697	53807401	0	53807401	gray80	1	1	53807401	26903700.5	20450001.5
CHR1	20500001	20600000	85144	20550000.5	0.85144	53807401	0	53807401	gray80	1	1	53807401	26903700.5	20550001.5
CHR1	20600001	20700000	54439	20650000.5	0.54439	53807401	0	53807401	gray80	1	1	53807401	26903700.5	20650001.5
CHR1	20700001	20800000	88609	20750000.5	0.88609	53807401	0	53807401	gray80	1	1	53807401	26903700.5	20750001.5
CHR1	20800001	20900000	86540	20850000.5	0.8654	53807401	0	53807401	gray80	1	1	53807401	26903700.5	20850001.5
CHR1	20900001	21000000	64223	20950000.5	0.64223	53807401	0	53807401	gray80	1	1	53807401	26903700.5	20950001.5
CHR1	21000001	21100000	72757	21050000.5	0.72757	53807401	0	53807401	gray80	1	1	53807401	26903700.5	21050001.5
CHR1	21100001	21200000	73579	21150000.5	0.73579	53807401	0	53807401	gray80	1	1	53807401	26903700.5	21150001.5
CHR1	21200001	21300000	65496	21250000.5	0.65496	53807401	0	53807401	gray80	1	1	53807401	26903700.5	21250001.5
CHR1	21300001	21400000	78661	21350000.5	0.78661	53807401	0	53807401	gray80	1	1	53807401	26903700.5	21350001.5
CHR1	21400001	21500000	75764	21450000.5	0.75764	53807401	0	53807401	gray80	1	1	53807401	26903700.5	21450001.5
CHR1	21500001	21600000	86965	21550000.5	0.86965	53807401	0	53807401	gray80	1	1	53807401	26903700.5	21550001.5
CHR1	21600001	21700000	76605	21650000.5	0.76605	53807401	0	53807401	gray80	1	1	53807401	26903700.5	21650001.5
CHR1	21700001	21800000	62855	21750000.5	0.62855	53807401	0	53807401	gray80	1	1	53807401	26903700.5	21750001.5
CHR1	21800001	21900000	85721	21850000.5	0.85721	53807401	0	53807401	gray80	1	1	53807401	26903700.5	21850001.5
CHR1	21900001	22000000	66286	21950000.5	0.66286	53807401	0	53807401	gray80	1	1	53807401	26903700.5	21950001.5
CHR1	22000001	22100000	69933	22050000.5	0.69933	53807401	0	53807401	gray80	1	1	53807401	26903700.5	22050001.5
CHR1	22100001	22200000	62352	22150000.5	0.62352	53807401	0	53807401	gray80	1	1	53807401	26903700.5	22150001.5
CHR1	22200001	22300000	78527	22250000.5	0.78527	53807401	0	53807401	gray80	1	1	53807401	26903700.5	22250001.5
CHR1	22300001	22400000	76764	22350000.5	0.76764	53807401	0	53807401	gray80	1	1	53807401	26903700.5	22350001.5
CHR1	22400001	22500000	67201	22450000.5	0.67201	53807401	0	53807401	gray80	1	1	53807401	26903700.5	22450001.5
CHR1	22500001	22600000	73963	22550000.5	0.73963	53807401	0	53807401	gray80	1	1	53807401	26903700.5	22550001.5
CHR1	22600001	22700000	76056	22650000.5	0.76056	53807401	0	53807401	gray80	1	1	53807401	26903700.5	22650001.5
CHR1	22700001	22800000	81257	22750000.5	0.81257	53807401	0	53807401	gray80	1	1	53807401	26903700.5	22750001.5
