chrom	length
scaffold_125	827531
scaffold_126	825579
scaffold_127	820427
scaffold_128	812132
scaffold_129	808043
scaffold_130	805582
scaffold_131	800810
scaffold_132	789903
scaffold_133	783957
scaffold_134	783691
scaffold_135	780454
scaffold_136	770487
scaffold_137	768200
scaffold_138	759200
scaffold_139	756744
scaffold_140	753200
scaffold_141	742743
scaffold_142	733755
scaffold_143	731778
scaffold_144	723000
scaffold_145	719100
scaffold_146	714890
scaffold_147	708000
scaffold_148	704100
scaffold_149	703000
scaffold_150	701000
scaffold_151	685008
scaffold_152	666104
scaffold_153	664678
scaffold_154	664100
scaffold_155	641000
scaffold_156	636447
scaffold_157	627184
scaffold_158	621145
scaffold_159	621000
scaffold_160	606100
scaffold_161	594888
scaffold_162	592759
scaffold_163	592249
scaffold_164	587000
scaffold_165	586119
scaffold_166	581413
scaffold_167	577285
scaffold_168	573000
scaffold_169	570879
scaffold_170	570646
scaffold_171	570200
scaffold_172	567376
scaffold_173	564000
scaffold_174	551580
scaffold_175	550779
scaffold_176	549822
scaffold_177	525200
scaffold_178	520352
scaffold_179	515583
scaffold_180	505453
scaffold_181	503000
scaffold_182	501656
scaffold_183	493000
scaffold_184	492281
scaffold_185	491964
scaffold_186	482000
scaffold_187	481000
scaffold_188	477407
scaffold_189	477251
scaffold_190	474870
scaffold_191	465000
scaffold_192	465059
scaffold_193	462000
scaffold_194	457894
scaffold_195	456002
scaffold_196	452717
scaffold_197	451699
scaffold_198	450211
scaffold_199	443834
scaffold_200	442713
scaffold_201	440929
scaffold_202	434549
scaffold_203	432728
scaffold_204	430379
scaffold_205	429000
scaffold_206	429000
scaffold_207	428672
scaffold_208	428005
scaffold_209	424258
scaffold_210	424137
scaffold_211	421201
scaffold_212	416594
scaffold_213	415988
scaffold_214	410320
scaffold_215	407982
scaffold_216	403409
scaffold_217	403374
scaffold_218	399000
scaffold_219	399000
scaffold_220	396753
scaffold_221	383746
scaffold_222	381100
scaffold_223	381097
scaffold_224	375000
scaffold_225	374000
scaffold_226	373000
scaffold_227	371824
scaffold_228	370121
scaffold_229	368318
scaffold_230	363000
scaffold_231	358762
scaffold_232	358340
scaffold_233	357000
scaffold_234	352221
scaffold_235	349000
scaffold_236	342319
scaffold_237	339882
scaffold_238	335818
scaffold_239	331313
scaffold_250	313483
scaffold_251	313000
scaffold_252	309405
scaffold_253	306415
scaffold_254	304012
scaffold_255	303000
scaffold_256	299143
scaffold_257	298994
scaffold_258	298421
scaffold_259	296016
scaffold_260	287000
scaffold_261	284927
scaffold_262	284026
scaffold_263	279075
scaffold_264	269791
scaffold_265	268450
scaffold_266	268000
scaffold_267	246387
scaffold_268	241394
scaffold_269	239852
scaffold_270	237256
scaffold_271	234000
scaffold_272	234000
scaffold_273	232935
scaffold_274	230000
scaffold_275	225968
scaffold_276	220260
scaffold_277	219689
scaffold_278	217100
scaffold_279	216699
scaffold_280	205604
scaffold_281	202245
scaffold_282	201268
scaffold_283	201000
scaffold_284	198103
scaffold_285	197180
scaffold_286	196769
scaffold_287	193124
scaffold_288	192952
scaffold_289	191547
scaffold_290	189929
scaffold_291	189882
scaffold_292	189306
scaffold_293	188717
scaffold_294	186812
scaffold_295	186000
scaffold_296	186000
scaffold_297	184502
scaffold_298	183100
scaffold_299	179000
scaffold_300	178815
scaffold_301	177516
scaffold_302	177000
scaffold_303	175968
scaffold_304	174058
scaffold_305	172127
scaffold_306	170666
scaffold_307	170000
scaffold_308	169265
scaffold_309	168000
scaffold_310	167820
scaffold_311	167100
scaffold_312	166087
scaffold_313	166000
scaffold_314	164732
scaffold_315	161252
scaffold_316	161107
scaffold_317	160830
scaffold_318	159879
scaffold_319	159146
scaffold_320	158000
scaffold_321	158077
scaffold_322	157634
scaffold_323	156648
scaffold_324	153799
scaffold_325	153000
scaffold_326	150869
scaffold_327	149104
scaffold_328	147576
scaffold_329	147000
scaffold_330	147000
scaffold_331	145650
scaffold_332	144100
scaffold_333	142000
scaffold_334	138709
scaffold_335	137799
scaffold_336	136887
scaffold_337	136000
scaffold_338	135000
scaffold_339	132000
scaffold_340	131012
scaffold_341	131000
scaffold_342	130000
scaffold_343	128698
scaffold_344	128477
scaffold_345	128000
scaffold_346	127817
scaffold_347	127100
scaffold_348	127000
scaffold_349	123000
scaffold_350	122729
scaffold_351	121994
scaffold_352	121697
scaffold_353	118436
scaffold_354	115383
scaffold_355	115347
scaffold_356	114841
scaffold_357	111000
scaffold_358	110750
scaffold_359	110546
scaffold_360	110000
scaffold_361	109939
scaffold_362	109000
scaffold_363	108588
scaffold_364	107420
scaffold_365	107000
scaffold_366	106536
scaffold_367	105737
scaffold_368	101000
scaffold_369	101000
scaffold_370	100624
scaffold_371	100394
scaffold_372	99349
scaffold_373	98993
scaffold_374	98407
scaffold_375	96546
scaffold_376	96000
scaffold_377	96000
scaffold_378	93069
scaffold_379	93000
scaffold_380	93000
scaffold_381	92510
scaffold_382	92260
scaffold_383	92149
scaffold_384	91000
scaffold_385	90603
scaffold_386	90000
scaffold_387	89000
scaffold_388	89000
scaffold_389	88973
scaffold_390	86000
scaffold_391	85359
scaffold_392	85000
scaffold_393	84534
scaffold_394	84283
scaffold_395	84270
scaffold_396	84158
scaffold_397	84000
scaffold_398	83323
scaffold_399	83236
scaffold_400	83000
scaffold_401	82421
scaffold_402	82000
scaffold_403	81891
scaffold_404	81714
scaffold_405	81429
scaffold_406	80437
scaffold_407	80319
scaffold_408	80224
scaffold_409	80000
scaffold_410	79902
scaffold_411	79770
scaffold_412	78000
scaffold_413	78000
scaffold_414	77082
scaffold_415	77000
scaffold_416	77000
scaffold_417	77000
scaffold_418	76682
scaffold_419	76000
scaffold_420	76000
scaffold_421	76000
scaffold_422	75000
scaffold_423	75000
scaffold_424	74910
scaffold_425	74656
scaffold_426	74000
scaffold_427	73000
scaffold_428	72820
scaffold_429	72476
scaffold_430	72413
scaffold_431	72000
scaffold_432	71967
scaffold_433	71780
scaffold_434	71000
scaffold_435	71000
scaffold_436	70926
scaffold_437	70586
scaffold_438	69598
scaffold_439	68000
scaffold_440	68000
scaffold_441	67314
scaffold_442	67000
scaffold_443	67000
scaffold_444	66700
scaffold_445	66000
scaffold_446	65714
scaffold_447	65043
scaffold_448	65000
scaffold_449	65000
scaffold_450	65000
scaffold_451	64584
scaffold_452	64559
scaffold_453	64021
scaffold_454	64000
scaffold_455	64000
scaffold_456	64000
scaffold_457	63366
scaffold_458	63000
scaffold_459	63000
scaffold_460	63000
scaffold_461	62725
scaffold_462	62619
scaffold_463	62419
scaffold_464	62000
scaffold_465	61860
scaffold_466	61000
scaffold_467	61000
scaffold_468	61000
scaffold_469	60365
scaffold_470	59844
scaffold_471	59000
scaffold_472	57712
scaffold_473	57000
scaffold_474	56169
scaffold_475	55953
scaffold_476	55185
scaffold_477	55038
scaffold_478	55000
scaffold_479	55000
scaffold_480	54651
scaffold_481	54000
scaffold_482	54000
scaffold_483	53792
scaffold_484	53000
scaffold_485	53000
scaffold_486	52000
scaffold_487	49892
scaffold_488	45000
scaffold_489	45000
scaffold_490	44000
scaffold_491	39003
scaffold_492	38583
scaffold_493	37539
scaffold_494	37000
scaffold_495	36000
scaffold_496	33377
scaffold_497	33000
scaffold_498	32000
scaffold_499	32000
scaffold_500	31000
scaffold_501	28000
scaffold_502	28000
scaffold_503	27000
scaffold_504	27000
scaffold_505	26000
scaffold_506	23000
scaffold_507	22681
scaffold_508	20000
scaffold_509	18000
scaffold_510	16000
scaffold_511	14000
scaffold_512	11000
scaffold_513	3000
